stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,12.59,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,3,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,28,0,0,4,0,0,3,1,0,1,2,18,0,0,0,0
 24-34,0,1.64,4.93,19.7,0.82,0,13.13,0,0.82,0.82,4.1,0,0,1.64,0.82,0.82,0,2.46,1.64,0,16.42,0,0,10.67,316.03,5.75,1.64,0.82,0,0,14.78,0,1.64,1.64,4.1,73.06,0,3.28,0,1.64
 36-46,0,0,0.81,6.45,0.81,0,27.39,0,1.61,0.81,14.5,0.81,0,2.42,0,2.42,1.61,0.81,0.81,0,43.51,0,0.81,16.11,762.97,3.22,0,0.81,0,0,4.83,0,0.81,0.81,0,122.46,0.81,2.42,0,3.22
 48-58,0,0.57,0,8.03,1.15,0,107.88,0,0.57,4.02,19.51,0,0,0.57,1.72,0.57,1.72,2.3,0,0,72.3,0,3.44,13.77,1106.87,4.02,2.3,0.57,0,0.57,6.89,0,0.57,0,0,185.34,0.57,5.74,0,2.87
 60-70,0,0,0,8.83,0.98,0,200.23,0,4.91,2.94,27.48,0,0,1.96,0,0,0.98,2.94,0,1.96,94.23,0,1.96,7.85,1224.94,1.96,0.98,5.89,0,0,6.87,0,1.96,1.96,0,150.17,0.98,2.94,0,4.91
 72-82,0,1.96,0,17.67,2.94,0,315.11,0,3.93,5.89,78.53,2.94,0,3.93,1.96,1.96,1.96,4.91,0,0.98,130.56,0,5.89,14.72,1053.32,0,0,4.91,0,2.94,8.83,0,1.96,0.98,0,76.57,6.87,9.82,2.94,9.82
 84-94,0,1.06,0,23.36,5.31,0,189.04,2.12,3.19,1.06,31.86,1.06,3.19,2.12,3.19,3.19,6.37,1.06,1.06,3.19,100.89,1.06,1.06,8.5,465.17,3.19,1.06,6.37,0,1.06,19.12,0,1.06,0,0,52.04,2.12,6.37,4.25,3.19
 96-106,0,1.09,0,26.23,4.37,0,166.11,2.19,5.46,4.37,50.27,0,0,2.19,2.19,1.09,4.37,3.28,1.09,3.28,87.43,1.09,7.65,9.84,348.62,1.09,2.19,10.93,0,3.28,20.76,0,1.09,4.37,0,24.04,3.28,9.84,6.56,4.37
108-118,0,0.77,0,20.68,1.53,0.77,115.66,2.3,8.43,1.53,32.94,3.83,0,2.3,0,0.77,5.36,4.6,0,2.3,81.19,0.77,2.3,7.66,412.85,1.53,1.53,11.49,0,0.77,13.02,0,0,0.77,0,9.96,1.53,4.6,1.53,4.6
120,0,0,0,35.28,3.92,0,101.91,0,7.84,3.92,66.63,0,0,1.96,3.92,0,1.96,0,3.92,0,86.23,0,3.92,5.88,556.58,0,1.96,11.76,0,5.88,9.8,0,0,0,0,17.64,3.92,3.92,1.96,0
