stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
 14-21,1,3,0,0,0,0,0,0,0,0,0,19,0,1,1,28,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,17.24,0,0.82,79.62,1.64,0,0.82,65.67,0,0
 36-46,0,0,0,0,0,2.42,0,0,55.59,0,0,58.01,0.81,0,0,48.34,0,0
 48-58,0,0,5.16,0,0,5.74,0.57,0,118.2,0,0,24.67,1.15,0,0,17.79,0,0
 60-70,0,0.98,1.96,0,0,1.96,2.94,0.98,164.9,0,1.96,12.76,0,0,0,6.87,0,0
 72-82,0,0.98,4.91,0,0,7.85,5.89,0.98,168.85,0,0,10.8,0.98,0,0,1.96,1.96,0
 84-94,0,0,4.25,0,1.06,3.19,9.56,0,141.25,0,0,7.43,0,0,0,4.25,0,1.06
 96-106,0,1.09,6.56,1.09,0,2.19,8.74,0,75.41,1.09,0,8.74,0,0,0,3.28,4.37,0
108-118,0,0.77,4.6,0,0,4.6,9.96,0,65.11,0,0,6.89,0,0,0,2.3,0.77,0
120,0,0,0,0,0,1.96,5.88,0,37.24,0,0,5.88,0,0,0,3.92,0,0
