stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1373.04,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,28.92,0,0,44.69,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,507.34,13.14,0,0,184.01,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,37.76,0,3.15,59.79,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,616.81,6.29,0,0,292.67,0,9.44,0,3.15,22.03,6.29,0,0,0,0,0,0
 14-21,0,0,2,10,9,15,0,0,0,4,0,0,0,0,1,0,0,0,0,10,0,0,6,149,2,2,0,6,0,5,0,16,1,12,56,0,0,2,0,0
 24-34,0,0.82,0,4.1,0.82,75.52,0,1.64,0,9.85,0,0,1.64,3.28,2.46,0.82,0,1.64,0,23.8,0,0,14.78,291.4,0.82,1.64,4.1,0,0,11.49,0,0,0,1.64,63.21,0,0,9.03,0,1.64
 36-46,0,0,0.81,3.22,2.42,126.49,0,0,0,4.03,0,0,0.81,1.61,0,0.81,0.81,0.81,0,33.84,0,0,4.83,189.33,0,1.61,1.61,0,0,4.03,0,0,0.81,0,45.12,0,0,0.81,0,1.61
 48-58,0,0,0,5.74,1.15,120.5,0.57,0.57,0,8.61,0,0,0,0.57,0,0.57,0,0,0.57,30.41,0,0,6.89,71.15,0.57,0,1.15,0,0.57,1.15,0,0,0,0,9.75,0,0,1.15,0,1.72
 60-70,0,0,0,7.85,0.98,98.15,0,1.96,0,17.67,2.94,0,0,2.94,0.98,0,0,0,0,28.46,0,1.96,3.93,67.73,0.98,0,0.98,0,0,2.94,0,0,0.98,0,2.94,1.96,0,0.98,0,0.98
 72-82,0,0,0,5.89,0,39.27,0,0.98,0.98,10.8,0.98,0,0.98,3.93,0,0,0,0,0,30.43,0,2.94,5.89,54.97,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0
 84-94,0,0,0,6.37,1.06,38.23,0,0,0,6.37,3.19,0,0,4.25,1.06,0,0,1.06,0,29.74,1.06,1.06,6.37,44.61,0,0,3.19,0,0,4.25,0,0,0,0,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,3.28,1.09,24.04,0,1.09,0,9.84,0,0,1.09,3.28,0,0,1.09,1.09,0,18.58,0,0,4.37,29.51,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,4.6,4.6,17.62,0,0.77,0,6.89,1.53,0,0,0.77,0.77,0,0,0,0,12.26,0,0.77,4.6,38.3,0,0,0.77,0,0.77,3.06,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,5.88,9.8,29.4,0,0,1.96,17.64,0,0,1.96,1.96,1.96,1.96,0,3.92,0,9.8,0,1.96,5.88,56.83,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,1.96,5.88,1.96,0
