stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,4.1,0.82,0,1.64,1.64,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,1.61,0,1.61,11.28,0,0,0,6.45,0,0
 48-58,1.15,0,4.59,0.57,0.57,0.57,0,0,0,0,0.57,0,0,18.94,0.57,0,1.15,1.72,0,0.57
 60-70,0,0,6.87,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,3.93,0,0
 72-82,0.98,0,4.91,0,0,1.96,0,0,0,0.98,1.96,0,0,14.72,0,0,0,1.96,0,0
 84-94,2.12,0,2.12,0,0,0,1.06,0,0,0,1.06,1.06,0,6.37,0,0,0,0,0,0
 96-106,0,0,4.37,2.19,0,1.09,2.19,0,0,0,10.93,0,0,7.65,0,1.09,3.28,1.09,0,0
108-118,1.53,0.77,0.77,0,0.77,0.77,0,0,0,0.77,0,0,0,3.83,0.77,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0
