stage,epidermis,erythrocytes,eye,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,5.26,2.63,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,6.29,0,0,0,0
 14-21,1,0,0,1,3,2,0,2,5,0,2,0,36,7,1
 24-34,0,0.82,0,0,0.82,0,0.82,3.28,2.46,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,1.61,2.42,0,1.61,4.03,0,0,0.81,0,0,0
 48-58,0,0.57,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,3.93,4.91,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0
