stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0.82,0,0,0,50.89,0,0,0,17.24,0.82,6.57,0,3.28,69.77,0,0,0.82,0,0,0.82,0,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,4.03,0,0,0,1.61,0,0.81,0,17.72,0.81,0,0,54.79,4.03,0.81,0,1.61,252.17,0,0.81,0.81,0,0,0,0,0,0,32.23,0,0,0,0,0.81
 48-58,0.57,0,1.15,1.72,0,0,38.44,0,0,0,15.49,0,0.57,1.15,5.74,0.57,0,0,52.22,6.89,1.15,0,1.15,374.12,0.57,0,0.57,0,0,1.15,0,0,0,36.15,0,0,0.57,0,2.3
 60-70,0,0,1.96,4.91,0,0,152.14,0,1.96,0,35.33,0.98,0,1.96,6.87,4.91,0.98,0,26.5,5.89,0,0,0,559.47,0,0,0.98,0,0,1.96,0,0,0,48.09,0,0,0,0,1.96
 72-82,0,0,8.83,3.93,0.98,0,214.98,0,0.98,0,107,3.93,0,0.98,11.78,2.94,2.94,0.98,30.43,11.78,0.98,0,0.98,449.6,0,0.98,4.91,0,0,2.94,0,0,0,25.52,0,0,0,0,2.94
 84-94,0,0,4.25,7.43,0,0,137,1.06,0,1.06,84.96,6.37,0,1.06,35.05,11.68,1.06,1.06,54.16,9.56,1.06,1.06,0,227.28,0,2.12,4.25,0,0,2.12,0,0,0,14.87,0,0,0,2.12,2.12
 96-106,0,0,3.28,4.37,1.09,0,125.68,0,0,1.09,97.26,2.19,0,0,25.14,15.3,5.46,0,36.06,8.74,1.09,0,1.09,194.53,0,2.19,12.02,0,0,2.19,0,0,0,12.02,2.19,0,0,1.09,4.37
108-118,0,0,3.83,6.13,2.3,0,81.96,0,0,0,84.26,3.83,0.77,0,27.57,15.32,1.53,1.53,65.11,9.96,0,1.53,0.77,231.32,0.77,0,6.89,0,0,0.77,0,0.77,0,4.6,0,0.77,0.77,1.53,1.53
120,0,0,3.92,11.76,1.96,1.96,119.55,0,1.96,0,111.71,5.88,0,3.92,11.76,5.88,1.96,0,27.44,7.84,0,0,0,342.96,0,0,7.84,0,1.96,3.92,0,0,0,1.96,1.96,1.96,1.96,1.96,5.88
