stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,18.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,59.79,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,13,0,0,0,0,0,1,1,0,35,0,0,0,3,0,1,2,0,2,0,2,0,0,0,0,0
 24-34,0,0.82,2.46,0,0,0,0,0,2.46,4.1,0,93.58,0,0,0.82,29.55,0,0,26.27,0,30.37,0,2.46,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0.81,6.45,0,29.81,0,0,0.81,24.98,0,0,24.17,0,24.17,0,3.22,0,0,2.42,0,0
 48-58,0,0,2.3,0,1.72,0,0,0.57,0.57,17.21,0,17.79,0,0.57,1.15,25.25,0,0,11.48,0.57,14.35,0,0,0,0,1.15,0,0
 60-70,0,0,6.87,0,1.96,1.96,0,0.98,3.93,7.85,0,16.69,1.96,0,1.96,17.67,0,0,10.8,0,12.76,0,0,0,0,0.98,0,0
 72-82,0,8.83,15.71,0.98,6.87,0.98,0,1.96,19.63,7.85,3.93,59.88,1.96,4.91,3.93,54.97,0,0,15.71,0,33.38,0.98,0.98,0,0,0.98,5.89,0
 84-94,0,5.31,10.62,0,1.06,2.12,0,1.06,47.79,11.68,2.12,52.04,0,19.12,0,40.36,0,0,10.62,0,19.12,0,1.06,1.06,0,0,7.43,1.06
 96-106,0,4.37,28.41,1.09,2.19,1.09,1.09,2.19,53.55,2.19,6.56,87.43,9.84,20.76,3.28,69.94,1.09,0,18.58,0,44.81,2.19,5.46,0,0,1.09,17.49,1.09
108-118,0,3.83,27.57,2.3,3.83,0.77,0,0.77,54.38,0,9.19,65.87,3.83,36,0.77,36,0,0.77,14.55,0,16.85,0.77,3.83,0,0.77,0,19.92,0.77
120,0,0,13.72,0,0,0,0,1.96,39.2,0,9.8,21.56,3.92,23.52,5.88,23.52,0,0,7.84,0,9.8,1.96,5.88,0,0,0,7.84,0
