stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,7.89,0,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,128.81,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,3.15,0,18.88,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,125.88,6.29,0,0,44.06,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,9,147,13,0,53,0,0,0,2,2,24,3,0,4,1,0,0,2,48,1,0,46,174,12,1,6,5,108,0,26,10,2,68,35,0,3,0,1
 24-34,0,0,0,0,3.28,0.82,0,9.85,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,4.1,0.82,0,1.64,78.8,0.82,0,0,0,10.67,0,0,0,0,0.82,13.95,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,1.61,0,20.14,0,0,0,0,0.81,0.81,0.81,0,0.81,0,0.81,0,0,4.03,0,0,1.61,91.85,0.81,0,0.81,0,3.22,0,0,0,0.81,0,15.31,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,25.25,1.15,0.57,0.57,1.72,0,0,0,0,0,0.57,0,0.57,0,5.74,0,0,2.87,73.45,1.15,0,0.57,0,1.15,0,0,0,0,0,10.9,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,0,17.67,0.98,0,0.98,5.89,0.98,0.98,0,0.98,0,0,0,0,0,17.67,0,0,0,78.52,0,0,1.96,0,0.98,0,0,0,0,0,3.93,0,0.98,0,0.98
 72-82,0,0,0,0,2.94,5.89,0,29.45,1.96,0,0,0.98,0,0,0,0,0,0,0,0,0,12.76,1.96,0.98,0,31.41,0,0,0,0,0.98,0,0,0,0,0,1.96,0.98,1.96,0,0.98
 84-94,0,0,0,0,7.43,4.25,1.06,48.85,2.12,0,1.06,3.19,1.06,0,0,1.06,1.06,1.06,1.06,4.25,0,12.74,0,0,1.06,18.05,3.19,0,1.06,0,1.06,0,0,1.06,0,0,3.19,4.25,2.12,2.12,0
 96-106,0,0,1.09,0,2.19,3.28,0,42.62,0,1.09,1.09,3.28,1.09,0,0,2.19,3.28,1.09,0,1.09,0,9.84,0,1.09,1.09,13.11,2.19,0,2.19,0,2.19,0,0,0,1.09,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0,4.6,3.83,3.06,58.21,1.53,1.53,2.3,5.36,3.06,0,0,1.53,1.53,0.77,0.77,6.89,0.77,12.26,0,0,2.3,37.53,1.53,0.77,3.06,0,8.43,0,0,2.3,0.77,0,0,2.3,2.3,1.53,0
120,0,0,0,0,0,7.84,1.96,39.2,3.92,0,0,3.92,0,0,0,0,0,0,1.96,5.88,0,3.92,0,0,5.88,11.76,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,1.96,0,0
