stage,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
 14-21,1,1,0,2,0,0,0,2,0,16,0,1,0,0,3,2,3,0
 24-34,0,3.28,0,0.82,0,0,0.82,2.46,2.46,32.01,0,0,0.82,2.46,0,0,5.75,0
 36-46,0,0.81,0,3.22,0.81,0,0,4.03,0,25.78,0,0,0,0.81,0,0,5.64,0.81
 48-58,0,0.57,0,5.16,1.15,0,0,2.3,0,16.07,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,7.85,0.98,0,0,3.93,0,15.7,0,0,0,0,0,0,1.96,0
 72-82,0,1.96,0.98,4.91,2.94,0,0,3.93,0,12.76,0,0,0,0.98,0,0,0.98,0.98
 84-94,0,0,0,6.37,4.25,0,0,0,0,6.37,2.12,0,0,0,0,0,2.12,0
 96-106,0,1.09,1.09,6.56,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0,1.53,0,2.3,0.77,0.77,0,0.77,0,5.36,0,0,0,0,0,0,0,0
120,0,3.92,0,1.96,1.96,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0
