stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,4,4,0,0,0,55,0,0,0,0,0,0,0,3,0,1,24,0,3,34,1,0,1,2,108,0,3,162,0,0,0
 24-34,0,0.82,0,1.64,0,3.28,0,0,56.64,0,0,0,0,0,0,0,0.82,0,0.82,39.4,0.82,4.1,3.28,0,0.82,0,0,32.01,0,2.46,105.89,0,0,0
 36-46,0,0,0,0.81,0,8.86,0,0.81,26.59,0,0,0,0.81,0,0,0,4.03,0,0,60.43,0,7.25,2.42,0,0,0,0,15.31,0,0,51.56,0,0,0
 48-58,0,0,0,0,0,16.07,0.57,0.57,32.71,0,0.57,0,0.57,0,2.3,0.57,8.03,0,1.72,68.86,0,12.62,2.87,0,0.57,0,0,5.16,0,0,57.38,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,27.48,0,0,0,0,0,2.94,0,3.93,0.98,0.98,38.28,0,12.76,5.89,0,0,0,0,2.94,0,0,24.54,0,0.98,0.98
 72-82,0,0,0,0.98,0,19.63,0,0,37.3,1.96,0.98,0.98,0,0,10.8,0,5.89,0.98,0.98,44.17,0,15.71,16.69,0,0,0,0,1.96,0,0,29.45,0,0,0
 84-94,0,0,1.06,0,1.06,16.99,0,0,22.3,0,0,0,1.06,0,10.62,0,8.5,0,0,25.49,0,19.12,29.74,0,1.06,0,0,8.5,0,0,29.74,0,0,0
 96-106,0,0,0,3.28,3.28,8.74,0,1.09,18.58,0,0,0,1.09,0,17.49,0,6.56,1.09,1.09,10.93,1.09,16.39,37.16,0,0,0,0,3.28,0,0,21.86,0,0,0
108-118,0,0,0.77,0,2.3,8.43,0,0,19.92,0,0,0,0,0.77,10.72,0,3.06,0,0.77,13.79,0,23.74,23.74,0,0,0,0,6.89,0.77,0,14.55,0.77,0.77,0.77
120,0,0,0,0,0,3.92,0,0,11.76,0,0,0,0,1.96,13.72,0,3.92,0,0,11.76,0,23.52,15.68,0,0,0,0,1.96,0,0,9.8,0,0,1.96
