stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,heart,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,pronephros,slow_muscle,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,1,2,3,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,2.46,1.64,1.64,0,0,0,0.82,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,2.3,0,0,0,0,0,1.15,2.3
 60-70,0,0,0,0.98,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0,1.96,2.94
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,0,2.19,0,1.09,0,0,0,0,0,3.28,0
108-118,0,0,0.77,1.53,3.06,0,0,0,0,0,4.6,0,0.77,0,0,0,3.06,2.3
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
