stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,3.15,0,3.15,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,33,6,6,0,0
 24-34,0,1.64,1.64,0,0,0,0.82,0,0,0,10.67,0,0,4.1,0.82,0,0,0,17.24,1.64,0.82,1.64,0.82
 36-46,0,0,0.81,0,0.81,0.81,0.81,0,2.42,0,23.36,0,0,2.42,0,0,0,0.81,15.31,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,35.58,0.57,1.15,4.59,0,0,0,0,13.2,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,10.8,0,0,2.94,0,0,0,0,9.82,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,5.89,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0,1.53,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0
