stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.14,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,123.55,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,157.35,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,6,1,2,0,0,2,0,0,0,0,0,0,0,1,1,0,3,56,1,0,0,1,0,0,2,0,0,7,20,0,0,0,0
 24-34,0,0,0,3.28,0,12.31,0,1.64,2.46,0,0,0,0,0,0,0.82,0,6.57,0,2.46,140.37,0.82,0,0,0,0,1.64,0,0.82,0,0.82,30.37,0,0.82,0,0
 36-46,0,0,0,0,0,24.98,0,0,2.42,0,0,0,0,0,0,0.81,0.81,8.06,0,0.81,199,0,0,0.81,0,0,0.81,0,0,0,0.81,33.03,0,2.42,0,0
 48-58,0,0,0,1.72,0,51.07,1.15,0,9.18,0.57,0,0,0,0,0.57,0.57,0.57,16.07,0.57,1.72,187.63,0.57,0.57,0,0,0,0,0,0,0,0,37.87,0,1.15,0,1.15
 60-70,0,0,0,0,0,45.15,0.98,0.98,12.76,0,0,0,0,0,1.96,0,0,12.76,1.96,0.98,182.56,1.96,0.98,0.98,0,0,0,0,0,0,0,25.52,0,0,0,0.98
 72-82,0,0,0.98,3.93,0,40.25,0,0,13.74,0,0,0,1.96,0,0.98,0.98,0,34.36,3.93,1.96,142.34,0,0,0,0,0,1.96,0,0,0,0,5.89,0.98,1.96,0,0.98
 84-94,0,0,0,3.19,0,28.68,2.12,0,11.68,1.06,0,0,4.25,0,1.06,0,1.06,12.74,1.06,1.06,52.04,0,0,1.06,0,0,0,0,0,1.06,0,6.37,0,2.12,0,0
 96-106,0,0,0,3.28,0,22.95,0,0,7.65,0,0,0,2.19,0,0,0,0,12.02,1.09,1.09,45.9,0,0,0,0,1.09,0,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,2.3,1.53,13.02,0.77,0.77,7.66,0.77,0,0,0,0.77,1.53,0,0,11.49,0,0.77,51.32,0,1.53,0,0,0,0,0,0,0,0,0.77,0.77,1.53,0,0
120,0,0,0,0,0,15.68,0,1.96,1.96,0,0,1.96,3.92,0,0,0,0,7.84,1.96,0,78.39,0,0,1.96,0,0,0,0,0,0,0,1.96,0,3.92,0,0
