stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,periderm,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0
 48-58,0,0,0,1.15,0.57,0,0,0,0,0,0,0.57,0.57,1.15,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,0,0,1.96,0,0,3.93,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,1.09,0,0,1.09,2.19,0,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,0,0,0,1.53,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
