stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,110.33,1875.67,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,55.17,6.13,0,0,12.26,0,42.91,0,0,0,0,0,0,0
  7-9,28.92,36.8,31.54,0,2.63,63.09,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,788.61,28.92,0,0,262.87,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,0,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,201.41,9.44,0,0,91.26,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,12,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22,1,0,0,4,0,2,6,1,4,7,0,0,0
 24-34,0,0,0,8.21,0,4.93,0,0,0,0.82,1.64,0.82,0,0,0.82,0.82,0,4.93,0.82,5.75,43.51,0.82,0,0,0,0,11.49,0,0,3.28,4.1,0,0,0
 36-46,0,0,0,1.61,0.81,8.06,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0.81,17.72,0,0,0,0,0,5.64,0,0,0,1.61,0.81,0,0
 48-58,0,0,0,1.15,0,41.31,0,1.15,0.57,2.3,0.57,0,0.57,0,0,0,0.57,6.31,0,2.3,29.84,0,1.15,0.57,0,0,4.59,0,0.57,0,5.16,0.57,0,0.57
 60-70,0,0,0,0,0,53,0.98,0,0,3.93,0,0,0,0,0,0.98,0,5.89,0,0,28.46,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,35.34,0,0,0,2.94,0,0,0,0,0,0.98,0,2.94,0,0.98,25.52,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,0,18.05,0,0,0,3.19,1.06,0,0,0,0,0,0,5.31,1.06,0,12.74,0,0,0,0,0,4.25,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,26.23,0,0,1.09,3.28,0,0,1.09,1.09,0,0,0,3.28,0,1.09,17.49,0,0,0,0,1.09,10.93,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,8.43,0,0,0,0.77,0,0,0,2.3,0,0,0,0.77,0,0.77,6.13,0,0,0,0,0,4.6,0,0,0,0,0,0,0
120,0,0,0,5.88,3.92,13.72,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,15.68,0,0,0,0,0,7.84,0,1.96,0,1.96,1.96,1.96,0
