stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,0,0,0,0,0,8,0,0,9,5,0,0,0
 24-34,0,0,4.1,0,0,22.16,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,4.93,0,0,2.46,45.97,0,0,0.82,0,4.1,0,0,0,6.57,1.64,1.64,0,0.82
 36-46,0,0,2.42,0,0,4.83,0.81,0,0,0.81,0.81,0,1.61,0,0,0,0,0.81,0,4.83,0,0,0,19.34,0.81,0.81,0,0,1.61,0,1.61,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,3.44,1.72,0,0,0,0.57,0,0,0,0,0,0,0,0,1.15,0.57,0,0.57,5.16,0,0,1.15,0,2.3,0,0,0,0,0.57,0,0,0
 60-70,0,0,4.91,0.98,0,3.93,0.98,0,0.98,1.96,0,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0,10.8,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,1.96,0.98,0.98,0.98,3.93,0,0.98,0.98,0,0.98,0.98,0.98,0.98,0,5.89,0.98,0.98,0,8.83,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,7.43,3.19,1.06,3.19,1.06,0,0,3.19,3.19,0,0,0,3.19,1.06,0,1.06,0,3.19,1.06,0,0,6.37,0,1.06,0,0,7.43,0,0,1.06,0,1.06,1.06,0,1.06
 96-106,0,0,10.93,0,0,2.19,1.09,2.19,2.19,5.46,2.19,0,1.09,3.28,1.09,0,0,0,1.09,4.37,3.28,0,0,10.93,0,2.19,0,0,13.11,0,0,0,0,0,3.28,0,1.09
108-118,1.53,0,17.62,3.06,3.06,1.53,3.83,3.06,0.77,3.06,3.06,0,0,0.77,3.06,1.53,1.53,0,0.77,9.19,2.3,0.77,8.43,14.55,3.06,3.06,1.53,0.77,15.32,0,0,0,0,0,2.3,0,0.77
120,0,0,15.68,7.84,5.88,1.96,5.88,1.96,0,0,3.92,0,0,0,0,0,0,5.88,0,21.56,0,0,7.84,21.56,0,3.92,1.96,0,15.68,0,1.96,0,0,0,3.92,1.96,0
