stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,22.03,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,41,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,13,0,0,14,16,31,0,0,3,0,2,6,0,1,14,22,0,0,0,0
 24-34,0,0,0.82,0.82,32.83,0,0,8.21,0,8.21,4.1,2.46,0,0,1.64,0,1.64,0,0,0,0.82,33.66,0,0.82,38.58,50.89,12.31,0,0.82,0,0,3.28,0,0,0.82,15.6,22.98,0,6.57,0,1.64
 36-46,0,0,0,0,9.67,0,0,13.7,0,0.81,5.64,8.06,0,0,1.61,0,4.03,0,1.61,0,1.61,51.56,0,1.61,20.95,33.84,8.06,2.42,1.61,0,0,4.83,0,0.81,0,0,19.34,0,1.61,0,3.22
 48-58,0,0,0,0.57,6.31,0,0,40.74,0,0.57,8.03,14.92,0,0,0.57,0,0,0,0,0.57,2.87,66.56,1.15,0.57,20.08,32.71,2.87,0.57,1.72,0,0,4.02,0,0.57,0,0,13.77,0,1.15,0,2.3
 60-70,0,0,0,0,2.94,0,0,95.21,0,0.98,11.78,32.39,0,0,0,0,0.98,0.98,0,0,0,99.13,0,0.98,6.87,28.46,0,0,0,0,0.98,3.93,0,0,0,0,10.8,0.98,0.98,0,2.94
 72-82,0,0,0,0,4.91,6.87,0,94.24,0.98,0.98,8.83,112.89,2.94,0,0.98,0,0.98,0,0.98,0,0.98,118.78,0,1.96,5.89,39.27,1.96,0,1.96,0,0,0.98,0,0,0,0,6.87,3.93,0.98,3.93,1.96
 84-94,0,0,0,0,6.37,1.06,0,79.65,1.06,2.12,5.31,56.29,3.19,0,0,0,3.19,1.06,0,1.06,2.12,71.16,1.06,1.06,7.43,16.99,3.19,0,2.12,0,0,2.12,0,1.06,0,0,2.12,2.12,0,6.37,3.19
 96-106,0,0,0,0,4.37,2.19,0,39.34,0,0,5.46,93.98,3.28,0,0,0,3.28,1.09,1.09,1.09,0,56.83,1.09,3.28,1.09,32.79,0,0,2.19,0,0,1.09,0,1.09,0,0,2.19,2.19,1.09,6.56,3.28
108-118,0,0,0,0,3.83,0.77,2.3,29.87,0.77,0.77,0.77,94.21,3.06,0,0,0.77,1.53,1.53,1.53,0,2.3,44.43,0,0,1.53,24.51,0,1.53,5.36,0,0,2.3,0,0.77,0.77,0,0.77,0.77,0.77,2.3,1.53
120,0,0,0,0,3.92,1.96,0,23.52,0,0,1.96,48.99,5.88,0,0,0,0,1.96,0,0,3.92,23.52,1.96,3.92,3.92,17.64,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,3.92,3.92
