stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,1,2,2,4,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,1.64,0,0.82,6.57,0,1.64,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,6.45,0.81,0,0.81,0,0,0,0,1.61,0,1.61,20.95,0,0,0.81,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,4.59,1.15,0,0,1.15,0.57,0,0,3.44,0.57,0.57,14.35,0,0.57,0.57,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,8.83,0,0,0,0.98,0.98,0,0,7.85,0,1.96,19.63,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,0.98,0.98,0.98,1.96,0,0,0,2.94,1.96,0,8.83,0,0,1.96,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,0,2.12,0,1.06,0,2.12,0,1.06,7.43,0,0,2.12,0,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,7.65,0,0,2.19,2.19,0,0,0,5.46,0,1.09,6.56,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,2.3,0,0,1.53,3.06,0,0.77,0.77,3.83,0,0.77,9.96,0,0,2.3,0,0,1.53,0,0,0,0
120,0,0,3.92,0,5.88,5.88,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,1.96
