stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,1,0,0,0,0,1,0,0,3,0,1,3,3,0,0,0,0,1,56,16,0,0,0,0,0,0
 24-34,0.82,0.82,0,3.28,11.49,0,0,0,1.64,0,0,3.28,0,10.67,14.78,0,0,0,0,1.64,0,15.6,45.15,2.46,0,0,0,0,0
 36-46,0,1.61,0,2.42,16.92,0.81,0,0.81,0,0,0,1.61,0.81,6.45,9.67,0,0,0,0,0.81,0,8.06,4.03,0.81,0,0,0,0,0
 48-58,0,0,0,5.16,16.64,0,1.72,0,0,0,0,2.87,0.57,1.72,12.05,0,0,0.57,0,0,0,1.72,0,3.44,0,0,0,0,0
 60-70,0,0.98,0,0.98,15.7,0,0,0,0.98,0,0,2.94,0,4.91,11.78,0,0.98,0,0.98,0.98,0,6.87,0,1.96,0,0,0,0,0
 72-82,0,0,0,2.94,23.56,0,1.96,0,0.98,0,0,3.93,0,0.98,11.78,0,0,0,0.98,0.98,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,1.06,2.12,31.86,0,0,1.06,0,1.06,0,2.12,0,6.37,3.19,0,0,0,0,1.06,0,7.43,0,0,0,0,0,0,0
 96-106,0,0,2.19,5.46,36.06,0,1.09,0,4.37,1.09,0,2.19,0,4.37,10.93,0,0,0,0,3.28,0,12.02,0,0,1.09,1.09,0,0,0
108-118,0,0,0,4.6,44.43,0,0,0,2.3,0,0.77,2.3,0,4.6,13.79,0,0,0.77,0,1.53,0,10.72,0,1.53,0,0,0.77,0.77,0.77
120,0,0,0,1.96,19.6,0,1.96,0,3.92,0,0,7.84,0,3.92,9.8,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0
