stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,4.1,0,1.64,0,0.82,0,0,0,0,0,0,0,5.75,0,0,3.28,32.83,0,0,0.82,0,0,0,7.39,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,2.42,41.09,0,0.81,0,0,2.42,0,4.03,0,0,0,0
 48-58,0,0,0.57,0,5.16,0,0.57,0,1.15,0,0,0,0,0.57,9.18,0,0,2.87,74.59,0.57,0,0.57,0,0,0,4.02,0,0,0,0
 60-70,0,0,2.94,0.98,11.78,0,0.98,0.98,0.98,0,0,0,0.98,0,15.7,0,0.98,1.96,113.86,0,1.96,0,0,0.98,0,10.8,0.98,0,0,0
 72-82,0,0,2.94,0,40.25,0,0,0,2.94,0,0,0,0,0,27.49,0.98,0.98,1.96,101.11,0,0,0.98,0,0.98,0,11.78,3.93,0,0.98,0
 84-94,0,0,3.19,0,26.55,0,0,0,1.06,1.06,1.06,0,1.06,0,19.12,0,0,0,57.35,1.06,0,2.12,0,4.25,0,8.5,4.25,0,0,0
 96-106,0,0,2.19,0,22.95,1.09,0,0,4.37,1.09,0,1.09,1.09,0,10.93,0,0,3.28,44.81,0,0,0,0,3.28,1.09,1.09,2.19,1.09,0,1.09
108-118,0,0,3.06,0,10.72,0.77,0.77,0,2.3,0,0,0,1.53,0,12.26,0,0,2.3,44.43,0,0.77,1.53,0.77,1.53,0,1.53,0.77,0,0,0
120,1.96,0,3.92,0,9.8,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,37.24,0,0,0,0,1.96,0,0,3.92,0,0,0
