stage,axial,blastomeres,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,9.44,0
 14-21,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0,1.72,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,5.31,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,7.65,1.09,0,3.28,0,0,0,2.19,0,0
108-118,0,0,0,0,0,8.43,0,0,6.13,0,0,0,3.83,0,0
120,0,0,1.96,0,0,11.76,0,0,1.96,0,0,1.96,1.96,0,0
