stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,132,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,3,1,0,0,5,2,0,2,0,0,2,0,1,6,0,0,0,0,0
 24-34,0,0,36.12,0,0,5.75,0,0,0,0,0,0,0,0,0,0,1.64,0,37.76,0,0,8.21,52.53,0,0.82,0.82,0,4.1,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,2.42,0,0,10.47,0,1.61,0,1.61,0,0,0.81,0,0,0,1.61,0,122.46,0,0,12.89,92.65,0,1.61,4.03,0,16.11,0,0.81,0,4.83,0,0,0,0,0
 48-58,0,0,1.72,0,0,17.79,0,2.87,0.57,0.57,0,0,1.72,0.57,0,0,2.87,0,152.63,0,0.57,16.07,98.69,0,2.3,13.77,0,10.33,0,0,0,11.48,0,0.57,0,0,0
 60-70,0,0,3.93,0,0,11.78,0,4.91,0,5.89,0,0,0.98,0,0,0,4.91,0,212.01,0,1.96,22.58,123.67,0,0,31.41,0,9.82,0,0,0,6.87,0,0,0,0.98,0
 72-82,0,0,8.83,0,0,48.1,0,10.8,0,21.6,0.98,0,0,0,0,0,0.98,0,383.83,0,7.85,35.34,265.05,0,0.98,51.05,0,23.56,0,0,0,11.78,0,3.93,0.98,0,0
 84-94,0,0,33.99,2.12,0,49.92,0,9.56,1.06,10.62,2.12,0,0,1.06,1.06,1.06,1.06,0,296.31,1.06,8.5,18.05,157.18,0,2.12,46.73,2.12,78.59,0,0,0,7.43,0,3.19,0,2.12,0
 96-106,0,0,63.39,2.19,1.09,65.57,0,13.11,1.09,19.67,5.46,0,2.19,1.09,0,0,1.09,0,322.39,3.28,15.3,19.67,220.76,1.09,4.37,79.78,6.56,99.45,0,0,0,7.65,1.09,6.56,0,10.93,0
108-118,0,0.77,88.09,0.77,0.77,42.13,0.77,29.11,0.77,15.32,1.53,0,0.77,0.77,0.77,0.77,2.3,0.77,337.79,0.77,9.19,16.85,267.32,0,3.83,89.62,0.77,98.81,0,0,0,7.66,0,6.13,1.53,5.36,0.77
120,0,0,58.79,0,0,27.44,1.96,39.2,0,19.6,5.88,0,0,1.96,3.92,0,0,1.96,307.69,1.96,5.88,11.76,356.68,0,1.96,82.31,0,47.03,0,0,0,7.84,1.96,7.84,1.96,7.84,0
