stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,1084.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,0,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,249.73,5.26,0,0,76.23,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,75.53,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,9,1,2,0,0,1,1,0,0,0,0,0,0,0,3,0,1,27,9,1,0,1,0,2,1,1,6,17,0,0,0,0
 24-34,0,0,0,0,1.64,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,1.64,61.56,1.64,1.64,0,0,0,2.46,0,0,0,13.95,0,0,0,1.64
 36-46,0,0,0,0,1.61,0,5.64,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0.81,49.95,0,2.42,0.81,0,0,0.81,0,0,0,10.47,0,0,0,0
 48-58,0,0,0,0,0.57,0,17.21,0.57,0,4.02,0,0,0.57,0,0,0,0,0,3.44,0.57,1.72,75.74,0,1.15,0,0,0,0,0,0,0,18.94,0,0,0,0
 60-70,0,0,0,0,0,0,14.72,0,0.98,0,0,0,0,0,0,0,0.98,0,5.89,0,0,20.61,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,1.96,29.45,0,0,0.98,0,0,0,0.98,0,0.98,0,0,4.91,0,0,38.28,0,0.98,0.98,0,0,2.94,0,0,0,7.85,0,0,0.98,0
 84-94,0,0,0,0,2.12,3.19,27.61,1.06,0,6.37,0,0,0,0,1.06,0,0,0,8.5,0,0,20.18,0,0,0,0,0,5.31,0,0,0,5.31,0,2.12,1.06,1.06
 96-106,0,0,0,0,0,0,24.04,1.09,0,2.19,0,0,0,0,1.09,0,0,0,2.19,1.09,0,9.84,0,2.19,0,0,1.09,3.28,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0.77,0,2.3,0.77,29.11,3.06,0,4.6,0.77,0,0.77,0.77,0,2.3,0.77,0.77,3.06,0,0,39.06,0,0.77,0,0,0,4.6,0,0,0,0,0.77,0.77,0,0.77
120,0,0,0,0,1.96,3.92,23.52,0,0,11.76,0,0,0,0,3.92,0,0,1.96,3.92,0,0,29.4,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0
