stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,42.91,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,236.58,13.14,0,0,86.75,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,157.35,0,0,0,50.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,3,0,0,0,0,0,1,0,3,42,0,1,1,0,0,0,4,0,1,10,1,0
 24-34,0,0,0,0,0,4.1,0,0,0.82,0,0,0.82,0,0,2.46,0,0.82,35.3,0,0,0,0,0,0,0,0.82,0,7.39,0.82,0
 36-46,0,0,0,0.81,0,14.5,0,0,2.42,0,0,0.81,0,0,4.03,0,0.81,45.12,0,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,0,12.05,0,0,1.72,0,0,0,0,0,2.3,0,1.15,32.71,0,1.72,0,0,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0,20.61,0,0,0.98,0.98,0,0,0,0,4.91,0.98,0.98,36.32,0,1.96,0,0,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0,0,0,10.8,0.98,0,1.96,0,0,0,0,0,2.94,0.98,0,24.54,0,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,8.5,1.06,1.06,0,0,0,0,1.06,0,7.43,0,0,8.5,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,6.56,0,0,1.09,0,0,0,0,1.09,2.19,0,0,9.84,1.09,0,0,0,0,0,0,0,0,3.28,0,1.09
108-118,0,0,0,2.3,0,6.89,0,0.77,3.06,0,0,0,0,0.77,3.83,0.77,0,17.62,0,1.53,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,7.84,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0
