stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,70.98,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,28.32,3.15,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,23,3,0,0,0,0,1,0,2,6,0,0,0,0
 24-34,0,0,0.82,0.82,0,4.1,0,0.82,2.46,0,0,0,0,0,4.1,0,0,1.64,45.97,0,0,0,0,0,0,0,0,10.67,0,0.82,0,0
 36-46,0,0,0,0,0,13.7,0.81,0,1.61,0,0,0,0,0,4.83,0,0,0,81.37,0,0.81,0,0,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0,0,20.08,0.57,0.57,1.72,0,0,0,0,0.57,5.74,0,0,1.15,56.81,0,0,0,0,0,0,0,0,5.16,0,0.57,0,0.57
 60-70,0,0,0,0,0,37.3,0,0,1.96,0,0,0,0,0,6.87,0,0.98,0,52.02,0,0,0,0,0,0.98,0,0,4.91,0,0,0,0.98
 72-82,0,0,0.98,0.98,0.98,14.72,0,0,2.94,0.98,0,0,0,0,3.93,0,0,0.98,35.34,0,0,0,0,0.98,0.98,0,0,0.98,0.98,0.98,0,0
 84-94,0,0,0,2.12,3.19,15.93,0,0,2.12,0,0,0,0,0,4.25,0,0,1.06,9.56,0,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,0,9.84,0,0,2.19,0,0,0,0,0,2.19,0,0,0,10.93,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,3.06,0,0,1.53,2.3,0,0.77,0,0,2.3,0.77,0,0.77,10.72,0,0.77,0.77,0,0,2.3,0,0,0,0,0.77,0,0
120,0,0,0,0,0,5.88,0,0,7.84,0,0,0,1.96,0,1.96,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
