stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.85,3887.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,2274.09,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,39.43,0,60.46,0,0,0,128.81,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,1030.46,47.32,0,0,415.34,0,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,40.91,0,9.44,0,84.97,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,3.15,830.8,59.79,0,0,399.67,0,3.15,3.15,0,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,52,10,0,21,0,1,0,7,3,3,0,0,1,0,0,2,0,30,0,0,20,225,19,1,1,9,0,0,0,32,1,0,50,103,0,3,0,1
 24-34,0.82,0,0,0.82,19.7,0,0,60.74,0,4.1,1.64,11.49,0.82,0,1.64,0.82,2.46,0,0,0,4.1,57.46,0.82,0.82,42.68,362.82,10.67,1.64,4.1,0,0.82,1.64,0,0,2.46,0.82,19.7,82.91,0,7.39,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,107.15,0,0.81,7.25,16.11,0.81,0,1.61,0.81,1.61,0,0,0,3.22,82.98,0,2.42,17.72,294.87,8.86,0.81,3.22,0,0,0.81,0,0,1.61,0,0,74.12,0,6.45,0,2.42
 48-58,0,0,0.57,0.57,5.74,0,0,173.29,0,2.3,8.61,41.89,1.72,0,1.15,0.57,0.57,0,0.57,0,1.15,119.35,1.15,0.57,17.21,215.75,4.02,1.15,1.72,0,0.57,1.72,0,0,0.57,0.57,0.57,48.2,0.57,6.31,0,0.57
 60-70,0,0,0,0,5.89,1.96,0,165.88,0.98,0.98,2.94,29.45,0,0,1.96,0,0,3.93,0,0,0.98,168.82,0.98,4.91,6.87,141.34,0.98,2.94,2.94,0,0,2.94,0,0,2.94,0,0,27.48,0.98,4.91,0,3.93
 72-82,0,0,0,0,4.91,0.98,0.98,147.25,0,2.94,7.85,50.06,6.87,0,1.96,0.98,0.98,2.94,1.96,1.96,1.96,327.88,1.96,2.94,16.69,132.52,0.98,1.96,7.85,0,0.98,0.98,0,0,0.98,0,0,19.63,0.98,15.71,0,0.98
 84-94,0,0,1.06,0,6.37,3.19,0,113.64,1.06,0,4.25,25.49,6.37,0,2.12,5.31,0,3.19,1.06,4.25,2.12,198.6,3.19,7.43,7.43,75.4,2.12,0,5.31,0,0,4.25,0,0,3.19,0,0,7.43,4.25,4.25,3.19,0
 96-106,0,0,0,0,14.21,1.09,3.28,55.74,0,4.37,5.46,30.6,15.3,0,4.37,4.37,0,2.19,4.37,4.37,0,107.1,2.19,1.09,10.93,72.13,2.19,3.28,2.19,0,1.09,2.19,0,0,1.09,0,0,3.28,1.09,12.02,2.19,1.09
108-118,0,0,1.53,0.77,8.43,1.53,3.06,59.75,0,1.53,2.3,19.15,5.36,0,0.77,5.36,2.3,2.3,0.77,1.53,2.3,65.11,0.77,0.77,12.26,86.55,1.53,0.77,3.06,0,1.53,1.53,0,0,0,0.77,0,3.06,2.3,9.19,1.53,0.77
120,0,0,0,0,5.88,0,1.96,43.12,0,0,0,29.4,15.68,0,0,5.88,1.96,1.96,0,0,0,60.75,0,1.96,3.92,60.75,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,3.92,0,0
