stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,9.85,0,9.85,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,5.64,20.95,0.81,11.28,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,2.3,14.35,0,14.92,0,0,0,0,0
 60-70,0.98,0,0,0,0,0,0.98,0.98,0,1.96,0,0,3.93,0,0,1.96,15.7,0,21.59,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0.98,1.96,0,0,5.89,11.78,0,46.14,0,0,0,0,0
 84-94,1.06,0,2.12,1.06,2.12,0,0,0,0,1.06,0,0,1.06,0,0,1.06,14.87,0,56.29,0,0,0,0,0
 96-106,0,0,9.84,1.09,2.19,3.28,2.19,0,0,2.19,1.09,0,3.28,1.09,0,5.46,7.65,0,71.04,2.19,0,0,1.09,1.09
108-118,0.77,0,3.83,0.77,4.6,0,3.83,0,0,1.53,0,0,4.6,0,0.77,3.83,10.72,0.77,75.83,0.77,0,0,0,0
120,3.92,0,15.68,0,3.92,1.96,1.96,1.96,0,0,3.92,0,1.96,1.96,0,17.64,25.48,0,66.63,0,1.96,0,0,0
