stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,39.4,0,0,0,0,0,0,35.3,0,0,0,0
 36-46,0,0,0,2.42,0,0,4.83,0,0,0,0,0,0.81,0,0.81,124.07,0,1.61,0,0,0,0.81,74.12,0,0,0,0
 48-58,0,0,0,9.75,1.15,0,16.64,0,0,0,0,0,1.15,0,0,273.13,0,0,1.72,0,0,0.57,75.17,0,0,0,0
 60-70,0.98,1.96,1.96,27.48,0,0,45.15,0,0,0,0,0,3.93,0,0,502.54,0,0,0.98,0,0,1.96,102.08,0,0.98,0,0
 72-82,0,0,0,73.62,0,0,34.36,0,0,0,0.98,0,5.89,0,0.98,617.47,0,0,0,0,0,2.94,51.05,0.98,0,1.96,0.98
 84-94,0,1.06,0,45.67,0,0,19.12,0,1.06,0,0,0,2.12,0,1.06,275.07,0,2.12,1.06,0,0,0,37.17,0,0,1.06,0
 96-106,0,5.46,1.09,50.27,0,2.19,17.49,1.09,0,1.09,0,1.09,6.56,0,1.09,242.61,1.09,2.19,3.28,0,1.09,0,27.32,0,1.09,5.46,0
108-118,2.3,0,1.53,29.87,0,0,14.55,2.3,0,0.77,2.3,0,4.6,0.77,1.53,226.73,0,0.77,0.77,0,0,0.77,18.38,1.53,0,1.53,0
120,1.96,1.96,0,31.36,0,0,9.8,0,0,0,0,0,5.88,0,0,227.34,0,0,1.96,0,0,0,11.76,0,0,1.96,0
