stage,blastomeres,endocrine.pancreas,endoderm,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,2.63,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,5
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,2.46,4.1
 36-46,0,0,0,1.61,0.81,0,0,0.81,0,0,3.22,0,1.61,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,1.15,0.57,0.57,0,0,0,0,0,0,1.15
 60-70,0,0,0,0.98,1.96,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,1.96,0,2.94,0,0.98,0,0,0,0,1.96
 84-94,0,0,0,1.06,1.06,0,0,0,1.06,0,1.06,0,1.06,0,0,0,2.12,5.31
 96-106,0,0,0,0,1.09,0,0,1.09,2.19,0,0,0,5.46,2.19,0,0,0,3.28
108-118,0,0.77,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
