stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0
 36-46,0.81,0,0,0,1.61,0,0,0,4.03,2.42,1.61,4.03,0,0,0,0.81,0,0,0,0
 48-58,0,0.57,1.15,0,0.57,0,0.57,0,2.87,1.15,0,2.87,0,0,0.57,0,0,0.57,0,0
 60-70,0.98,0,0,0,0,0,0,0,4.91,6.87,0,12.76,0,0,0,0,0,1.96,0,1.96
 72-82,0,0,1.96,0,4.91,0,0,0.98,7.85,8.83,0,7.85,0,0,1.96,0,0,1.96,0.98,2.94
 84-94,0,0,2.12,0,3.19,0,0,0,2.12,8.5,0,5.31,1.06,0,2.12,1.06,0,4.25,0,3.19
 96-106,0,0,0,1.09,3.28,1.09,1.09,0,3.28,4.37,1.09,7.65,0,0,3.28,0,1.09,3.28,0,6.56
108-118,0,0,1.53,0,3.06,1.53,0.77,0,2.3,1.53,0,2.3,0,0,0.77,0,0,3.83,0.77,6.89
120,0,0,3.92,0,0,0,0,0,5.88,1.96,0,1.96,0,0,1.96,0,0,1.96,0,0
