stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,7,12,12,0,0,0,8,2,0,0,1,0,0,0,0,21,0,0,23,383,2,1,1,0,0,0,0,3,0,0,6,200,0,0,30,0,0
 24-34,0,4.1,0,19.7,13.13,237.23,0,0.82,2.46,45.97,0,3.28,1.64,1.64,2.46,0,0,0.82,241.33,0,1.64,110.82,2783.52,0.82,56.64,17.24,0,1.64,4.93,0,0,0,0,2.46,705.12,0,0,208.5,0,0.82
 36-46,0,2.42,0,4.03,0,514.02,1.61,0.81,4.83,76.54,0.81,5.64,0,0,0.81,0,0.81,0.81,213.5,0,4.83,53.98,3094.58,0,53.98,8.86,0,1.61,10.47,0,0,0,0,0,687.24,0,0,95.07,0,0
 48-58,0,0.57,0.57,22.38,2.3,1126.95,2.3,4.59,2.87,133.12,0,4.59,1.15,0,4.02,0,1.15,0.57,299.53,0,16.07,43.04,3329.79,1.72,49.35,6.89,0,0.57,7.46,0,0,0,0,0,638.07,0,2.3,78.61,0,1.72
 60-70,0,0.98,0,21.59,3.93,1825.63,1.96,5.89,8.83,185.51,0.98,7.85,2.94,0.98,0.98,0.98,0.98,0,424.02,0.98,29.45,40.24,4421.76,0.98,61.84,11.78,0,5.89,5.89,0,0.98,0,0.98,0,564.38,0,13.74,88.34,6.87,0.98
 72-82,0,5.89,0,31.41,9.82,1866.14,3.93,5.89,17.67,246.4,4.91,15.71,1.96,0.98,0.98,0.98,1.96,0,641.03,0,44.17,44.17,4334.04,0.98,123.69,25.52,0,15.71,11.78,0.98,0,0.98,0.98,0,379.9,5.89,33.38,151.18,29.45,6.87
 84-94,0,10.62,1.06,40.36,5.31,1082.22,1.06,5.31,16.99,176.3,5.31,10.62,5.31,2.12,8.5,3.19,1.06,2.12,387.64,2.12,38.23,37.17,1884.05,1.06,93.46,18.05,0,13.81,11.68,0,0,0,0,0,183.73,7.43,18.05,125.32,31.86,0
 96-106,0,5.46,0,27.32,4.37,752.97,3.28,2.19,5.46,134.42,5.46,9.84,10.93,1.09,2.19,7.65,1.09,0,325.67,1.09,20.76,34.97,1429.44,3.28,153,24.04,0,17.49,6.56,1.09,0,2.19,0,0,59.01,3.28,16.39,104.91,30.6,2.19
108-118,0,8.43,0,36.77,7.66,788.94,2.3,3.83,6.13,143.24,5.36,9.19,9.19,2.3,0.77,2.3,2.3,0.77,353.87,0,29.11,20.68,2006.06,0,116.43,26.04,0.77,16.85,9.19,0,0,2.3,0,0,55.92,10.72,18.38,109.53,19.92,0
120,0,11.76,1.96,88.19,15.68,1199.39,5.88,7.84,21.56,348.84,15.68,13.72,21.56,7.84,5.88,15.68,9.8,1.96,617.33,3.92,39.2,56.83,4623.13,1.96,141.1,43.12,0,45.08,17.64,1.96,0,5.88,0,0,117.59,11.76,23.52,215.58,62.71,0
