stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,42.06,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,40.91,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,20,0,1,1,0,0,3,0,5,12,0,0,0,0
 24-34,0,0,0,0,0.82,2.46,0,0,0,0,0.82,0,0,0,3.28,0,1.64,32.83,0,0,0,0,1.64,0,0,0.82,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,5.64,0,2.42,0,0,0,0,0,0,4.83,0,0,20.14,0,0,0,0,0.81,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,0,0,0,6.89,0,1.15,0,0,0,0,0,0,8.61,0,0.57,16.07,0,0.57,0,0,0.57,0,0.57,0,1.15,0,0,0,1.15
 60-70,0,0,0,0,0,9.82,0,0.98,0,0,0,0,0.98,0,1.96,0,0,10.8,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,1.96,0,0,0,0,0,0.98,5.89,0,0,10.8,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,1.06,0,2.12,3.19,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0,0,0,4.37,1.09,0,10.93,1.09,0,0,1.09,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,0,4.6,1.53,2.3,0.77,0,0,0.77,0.77,0,7.66,0,0,14.55,0,0,0,0.77,3.06,0,0,0,0,0.77,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
