stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1963.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,30.65,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,0,0,2,0,42,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0.82,4.1,0,0,0,155.96,0,6.57,0,0,0,0,0,0,0,133.8,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,5.64,0,0,0,4.83,0.81,0.81,0,0,0,2.42,0,0,2.42,0.81,0,0,408.47,0,2.42,0,0,0,1.61,0.81,0,0,176.44,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,1.15,0,37.3,0,0.57,0,20.66,0,0,0,0,0,2.87,0,0,9.18,0,0,1.72,638.07,0,1.72,0.57,0,0,0.57,0,0,0.57,132.55,0,0,0,0,1.72
 60-70,0,0,0,0,1.96,0,0,110.91,0.98,0,1.96,47.11,0,0,0,0,0.98,4.91,0,0.98,38.28,0.98,0,0.98,1353.52,0,0,0,0,0.98,1.96,0,0,0,186.49,0,0.98,0.98,0.98,0
 72-82,0,0,0,0,9.82,1.96,0,219.89,0.98,0,0.98,53.99,3.93,0.98,0.98,0.98,0,7.85,0,0.98,54.97,0,0,3.93,1243.77,0,0.98,0.98,0,0,1.96,0,0,0,121.73,1.96,3.93,0,2.94,0.98
 84-94,0,0,2.12,0,11.68,1.06,0,178.42,1.06,0,0,35.05,1.06,1.06,1.06,0,0,1.06,0,1.06,46.73,0,2.12,4.25,618.11,0,2.12,2.12,0,0,3.19,0,0,0,66.91,0,2.12,2.12,2.12,0
 96-106,0,0,1.09,0,5.46,1.09,0,148.63,0,1.09,1.09,32.79,0,1.09,2.19,1.09,1.09,4.37,2.19,0,25.14,0,2.19,2.19,545.33,1.09,0,0,0,0,1.09,0,0,0,31.69,0,4.37,1.09,0,0
108-118,0,0,0,0,7.66,1.53,0,107.23,0,0,2.3,36.77,0,0.77,1.53,0.77,0.77,3.06,0.77,0,18.38,0,0.77,1.53,628.09,0,3.83,0.77,0,0,0,0,0.77,0,18.38,0,0,1.53,0.77,0
120,0,0,0,3.92,21.56,1.96,1.96,90.15,0,0,0,35.28,1.96,0,3.92,0,0,0,1.96,0,27.44,5.88,1.96,0,783.91,0,1.96,0,0,0,1.96,0,0,0,35.28,0,0,3.92,0,0
