stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0
 48-58,0,0,0.57,0.57,0,1.15,0,1.72,0,0,1.72,0.57,0.57,5.74,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,1.96,0,0,0,2.94,0.98,0.98,0,0,0.98,3.93,0.98,0,0.98,0
 84-94,0,1.06,1.06,1.06,0,0,1.06,1.06,0,1.06,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,2.19,3.28,3.28,0,0,1.09,0,0,0,1.09
108-118,0,0,0,3.06,0.77,0.77,0,0.77,0.77,2.3,2.3,0,0,4.6,0,0,0,0
120,0,0,1.96,1.96,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0
