stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,9,1,43,22,0,12,0,0,0,2,0,0,1,0,1,0,0,2,0,11,0,0,12,213,4,8,18,0,0,2,0,104,17,132,0,0,8,0,0
 24-34,9.85,0.82,18.06,3.28,0,19.7,0,0,0,6.57,0,0,1.64,0.82,20.52,0,1.64,7.39,0.82,9.85,2.46,0.82,13.95,987.49,1.64,77.98,15.6,0,0,2.46,4.1,96.04,8.21,199.47,0,0,6.57,0,0
 36-46,5.64,0,12.89,0.81,0,24.98,4.03,0,0.81,26.59,0,0,3.22,0,8.86,0,1.61,3.22,1.61,20.95,0,0,10.47,1716.88,0.81,91.04,11.28,0,0,6.45,2.42,45.12,1.61,230.42,0,0,2.42,0,0.81
 48-58,2.3,0,18.94,1.15,0,131.98,1.15,0.57,2.3,66.56,0,0,2.3,1.15,6.89,0.57,3.44,3.44,4.59,51.07,1.15,1.15,6.89,2189.07,0.57,61.97,8.61,0,0,9.18,2.87,20.66,0,229.52,0,0,5.16,0.57,4.02
 60-70,3.93,0,18.65,0.98,0,257.16,3.93,0.98,6.87,105.02,1.96,0,3.93,6.87,6.87,1.96,13.74,4.91,1.96,48.09,0,1.96,9.82,3184.06,0.98,66.74,17.67,0,1.96,2.94,4.91,7.85,0,355.31,0.98,0.98,4.91,0.98,7.85
 72-82,28.47,0,48.1,16.69,0,807.91,10.8,0.98,12.76,206.15,13.74,0,3.93,3.93,19.63,2.94,25.52,5.89,0.98,162.96,0.98,8.83,19.63,3596.81,1.96,129.58,40.25,0,2.94,9.82,6.87,0.98,0,266.03,10.8,4.91,9.82,2.94,12.76
 84-94,13.81,0,67.97,5.31,0,561.82,4.25,4.25,6.37,128.51,10.62,1.06,2.12,8.5,24.43,7.43,45.67,2.12,0,92.4,0,4.25,7.43,2075.22,1.06,145.5,52.04,0,1.06,19.12,6.37,8.5,0,157.18,12.74,2.12,4.25,6.37,10.62
 96-106,21.86,1.09,65.57,16.39,0,621.83,10.93,5.46,10.93,171.58,24.04,0,8.74,8.74,33.88,0,87.43,8.74,3.28,126.77,0,5.46,19.67,1801.01,4.37,221.85,71.04,0,6.56,21.86,8.74,5.46,0,74.31,55.74,3.28,7.65,2.19,10.93
108-118,21.45,0,51.32,13.79,0.77,461.11,12.26,5.36,7.66,126.38,11.49,0,1.53,4.6,43.66,3.06,55.15,2.3,0.77,92.68,1.53,1.53,20.68,2635.68,3.83,150.89,58.21,0,3.83,24.51,3.83,9.19,0,63.57,81.19,4.6,3.06,6.13,6.13
120,15.68,0,33.32,9.8,1.96,384.12,7.84,0,5.88,129.35,3.92,0,3.92,11.76,13.72,3.92,33.32,5.88,0,92.11,0,0,25.48,3051.39,5.88,88.19,48.99,0,3.92,19.6,1.96,1.96,0,76.43,19.6,1.96,7.84,1.96,7.84
