stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0.81,6.45,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0.57,0,0,0,0,0,8.61,0,0,0,0,0,0,0,0,1.15,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,19.63,0,0,0,0,0,0,0,0,6.87,0,0,16.69,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,1.96,0,0.98,0.98,19.63,0,0.98,0,2.94,4.91,0,0,6.87,0,0,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,3.19,0,0,2.12,37.17,1.06,0,0,3.19,2.12,0,0,3.19,0,0,0,0,9.56,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,4.37,0,0,1.09,209.83,0,1.09,0,25.14,3.28,1.09,1.09,45.9,0,1.09,0,4.37,19.67,0,0,0,0,1.09,0
108-118,0,0,1.53,2.3,1.53,0,7.66,0.77,0,3.83,327.83,0.77,0.77,0.77,94.21,2.3,0,0,36.77,0,0,0,0,51.32,0,0,0,1.53,0,0
120,0,0,1.96,3.92,1.96,0,3.92,0,0,3.92,231.25,1.96,0,0,70.55,1.96,0,1.96,35.28,0,1.96,0,1.96,9.8,0,0,0,0,1.96,0
