stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,5.26,0,2.63,0,0,0,0,0,84.12,0,34.17,0,0,0,0
 10-12,0,0,0,0,0,22.03,0,0,0,0,0,0,0,47.2,9.44,12.59,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,4,2,6
 24-34,0,0,0,0,0,2.46,0.82,0,0,0,3.28,0,0.82,28.73,0,0,0.82,0,0,4.1
 36-46,0,0,0,0,0,3.22,2.42,0,0,0,3.22,0,0,24.17,0,0,0,0,0,8.06
 48-58,0,0,0,0,0,8.03,3.44,0,0,0,1.15,0,0,9.75,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,7.85,1.96,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,6.87,2.94,0,0,2.94,0,0,0.98,5.89,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,3.19,3.19,0,0,3.19,1.06,0,0,3.19,0,0,0,0,0,1.06
 96-106,0,0,0,0,2.19,2.19,0,0,0,3.28,0,1.09,0,5.46,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0.77,0.77,0,0.77,4.6,0.77,0,0,6.13,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,11.76,0,0,0,1.96,0,0,0,0,0,0
