stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,22.16,0,0,0,13.13,0,0,0,0,0,0,0,0,4.93,0,5.75,6.57,0,0,0,3.28,0.82,0
 36-46,17.72,0,0.81,0,18.53,9.67,0.81,0,0,0,0,0,0,11.28,0.81,8.06,1.61,0,0,0,1.61,2.42,0
 48-58,27.54,0,3.44,0,22.38,12.05,0.57,0,0,0,0,0.57,0.57,17.79,0.57,5.74,4.59,0.57,0.57,0,0.57,0.57,0
 60-70,26.5,0,6.87,0,35.33,19.63,0.98,0,0,0,0,0,0,15.7,0.98,5.89,8.83,0,0.98,0,0,0,0
 72-82,32.39,0.98,2.94,0.98,31.41,28.47,0.98,0,0,0,0,0,0,22.58,0,9.82,4.91,0,0,0,0,1.96,0.98
 84-94,57.35,0,6.37,0,52.04,21.24,1.06,1.06,0,0,0,0,0,11.68,0,5.31,4.25,0,0,0,0,1.06,0
 96-106,36.06,0,2.19,0,36.06,16.39,0,0,0,0,0,0,1.09,14.21,0,1.09,4.37,0,0,0,2.19,0,0
108-118,41.36,0,1.53,0,37.53,9.96,0,0,0.77,1.53,0.77,0,0,15.32,0.77,2.3,3.83,0,0,0,0.77,0,0
120,60.75,0,0,0,17.64,5.88,0,0,0,0,0,0,0,5.88,0,1.96,1.96,0,0,0,0,0,0
