stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,6.13,0,6.13,0
  7-9,0,2.63,2.63,0,2.63,7.89,0,0,68.35,15.77,0,0
 10-12,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,1.64,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09
120,0,0,0,0,1.96,0,0,0,0,0,0,0
