stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,21.03,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.75,18.4,0,0,102.52,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.32,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,9.44,0,0,72.38,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,1,0,1,41,2,1,0,0,0,12,2,0,0,1,0,0,0,10,0,0,8,41,5,3,2,8,0,0,2,14,6,5,72,0,0,0,0,0
 24-34,0,0,0,0.82,14.78,0,8.21,0,0,0,20.52,0.82,1.64,0,0,0,4.93,0,19.7,0,0.82,13.95,117.38,0.82,18.88,2.46,0,0,0,0,0,7.39,5.75,42.68,0,0,8.21,0,0
 36-46,0,0,0,0,1.61,0,74.93,0,0,2.42,14.5,1.61,1.61,0,0,0,3.22,0,31.42,0,0.81,18.53,345.63,0.81,21.75,0.81,0,0.81,5.64,0,0.81,2.42,0,57.2,0,0,13.7,0,0
 48-58,0,0,0,0,7.46,0,166.98,0,1.15,2.87,16.07,0,0,1.15,0.57,0,1.72,0,52.22,0,0,9.75,424.04,0.57,10.9,1.72,0,0.57,3.44,0,0,2.3,0,65.41,0,0,2.87,0.57,0
 60-70,0,0,0,0,5.89,0,263.05,0,2.94,2.94,13.74,0,0,0.98,0,0,3.93,0,91.28,0.98,3.93,5.89,464.26,0,12.76,0,0,0,7.85,0,0,1.96,0,64.78,0,0.98,2.94,0.98,0
 72-82,0,0,1.96,0,8.83,0.98,250.32,0,0.98,0.98,26.5,0,0.98,4.91,2.94,0.98,12.76,0,104.06,1.96,0.98,7.85,361.25,0.98,13.74,2.94,0,0.98,5.89,0,0,0,0,38.28,0.98,2.94,6.87,0,0
 84-94,0,0,2.12,0,11.68,0,228.34,0,2.12,6.37,13.81,5.31,0,12.74,3.19,2.12,11.68,0,67.97,1.06,3.19,5.31,187.98,1.06,20.18,4.25,0,1.06,16.99,0,0,5.31,0,31.86,0,6.37,6.37,2.12,0
 96-106,0,0,0,0,15.3,0,168.3,0,0,1.09,15.3,1.09,1.09,12.02,1.09,0,14.21,0,57.92,2.19,1.09,3.28,160.65,0,18.58,9.84,0,0,19.67,0,0,2.19,0,14.21,1.09,2.19,8.74,1.09,0
108-118,0,0,0,0.77,16.09,0,105.7,0.77,5.36,1.53,13.79,3.83,0,13.02,2.3,0,9.96,0.77,42.13,0,2.3,4.6,171.58,0.77,23.74,1.53,0,0.77,23.74,0,0,1.53,0,10.72,0.77,2.3,11.49,0,0.77
120,0,0,3.92,0,13.72,0,74.47,0,3.92,1.96,11.76,7.84,0,17.64,0,0,5.88,1.96,21.56,1.96,0,1.96,133.27,0,7.84,0,0,0,27.44,0,0,1.96,0,1.96,0,0,11.76,5.88,0
