stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.85,4230.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,796.85,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,18.4,0,21.03,0,0,0,23.66,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,294.42,15.77,0,0,126.18,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,9.44,0,40.91,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,355.61,22.03,0,0,122.73,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,13,5,0,4,0,1,0,2,3,1,0,0,0,0,0,3,1,11,0,3,125,0,1,2,2,0,2,0,7,4,0,7,53,0,0,2,0,0
 24-34,0,0,0.82,1.64,6.57,0.82,0,23.8,0,0,0,4.93,3.28,0,0,0.82,0.82,0,0.82,4.1,3.28,25.45,0,9.85,340.66,0,4.1,3.28,0.82,0,0,0,0,0.82,0,4.1,101.79,0,0,7.39,0,1.64
 36-46,0,0,0,0,1.61,0,0,34.64,0,0,1.61,4.83,0,0,0.81,0.81,0,0,0,0,0.81,17.72,0,5.64,465.68,0.81,8.86,1.61,0,0,0.81,0,0,0.81,0,0,99.9,0,0,3.22,0,0.81
 48-58,0,0,0,0,1.15,0,0,102.71,0,0,0.57,10.9,0,0,0,0.57,0,0,0.57,0,0,24.67,0,2.87,487.73,0,4.02,0,0,0.57,1.15,0,0,0,0,0,100.42,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,0,192.38,0,0,1.96,11.78,0.98,0,0,0.98,0,0,0,0.98,0.98,14.72,0,2.94,578.12,0,0.98,1.96,0,0,0.98,0,0,0,0,0,102.08,0,1.96,2.94,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,179.64,0,0,1.96,17.67,0,0.98,0,3.93,0,0,0.98,0,0,20.61,0.98,0.98,503.59,0,4.91,2.94,0,0,0,0,0,0,0.98,0,45.16,0,0,2.94,0.98,0
 84-94,0,0,0,0,1.06,1.06,1.06,111.51,1.06,1.06,0,13.81,2.12,1.06,0,2.12,0,1.06,0,0,0,22.3,1.06,4.25,240.02,0,1.06,0,0,0,2.12,0,0,0,0,0,18.05,0,1.06,3.19,2.12,0
 96-106,0,0,0,0,2.19,0,0,64.48,0,0,0,7.65,1.09,0,1.09,0,0,2.19,0,1.09,0,8.74,1.09,2.19,195.62,0,1.09,0,0,1.09,1.09,0,0,0,0,0,13.11,0,0,3.28,0,0
108-118,0,0,0,0,1.53,1.53,0,46.72,0,0,0,19.92,0.77,0,1.53,0.77,0.77,2.3,0,0.77,0,16.09,1.53,2.3,219.07,0,0.77,1.53,0,0.77,0,0,0,0,0.77,0,9.19,0.77,0.77,2.3,0.77,0
120,0,0,1.96,0,3.92,0,1.96,43.12,0,0,0,15.68,1.96,0,0,3.92,0,0,0,0,0,3.92,0,5.88,209.7,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,5.88,0,0,3.92,0,0
