stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,18,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,31,0,0,0,1,0,1,3,0,5,6,15,0,0,0,0
 24-34,1.64,0.82,3.28,2.46,17.24,38.58,0,0,0.82,3.28,0,0,0,4.1,0,0,9.03,0,0,14.78,199.47,1.64,0,1.64,0,0,1.64,0,4.1,43.51,2.46,40.22,0,0.82,0,0
 36-46,1.61,0,4.03,0,19.34,85.4,0.81,0.81,2.42,2.42,0,0,0,12.09,0,0,14.5,0.81,0,13.7,439.09,1.61,0,2.42,0,0,1.61,0,7.25,87.82,1.61,66.87,0,0,0,0.81
 48-58,0,0,2.87,0,28.69,86.64,0,0.57,4.02,2.87,0,0,0,1.72,0,0,19.51,0,0,10.9,436.09,2.3,1.15,1.72,0,0,1.72,0,6.89,106.15,0,62.54,0.57,0,0,0.57
 60-70,0,0,3.93,0.98,28.46,45.15,1.96,1.96,5.89,0.98,0,0,0,5.89,0,0.98,36.32,0,0,8.83,514.32,0.98,0,0,0,1.96,0.98,0,2.94,60.85,0,78.52,0,0,0,0
 72-82,0.98,0.98,3.93,0,49.08,18.65,0.98,1.96,3.93,0,0,0,0,9.82,0,0,29.45,0,1.96,3.93,381.87,1.96,0,1.96,0,0,2.94,0,0.98,15.71,0,28.47,0.98,0,1.96,1.96
 84-94,0,0,4.25,1.06,30.8,13.81,0,0,5.31,1.06,2.12,0,0,1.06,0,0,21.24,0,1.06,8.5,162.49,0,3.19,0,0,0,1.06,0,1.06,22.3,0,19.12,4.25,0,3.19,0
 96-106,1.09,0,3.28,0,20.76,5.46,1.09,2.19,1.09,0,0,1.09,0,3.28,0,0,18.58,3.28,1.09,2.19,122.4,0,0,3.28,0,1.09,1.09,0,0,14.21,0,5.46,0,0,2.19,0
108-118,0,0,4.6,0.77,22.21,5.36,0,3.06,5.36,0,1.53,0.77,0.77,2.3,0.77,0,24.51,0,0.77,5.36,153.19,0.77,0.77,1.53,0,1.53,0,0,0,13.02,0,8.43,0,0,0,0
120,0,0,3.92,0,17.64,0,1.96,1.96,0,0,0,0,0,0,0,0,23.52,0,0,0,217.54,0,0,0,0,0,0,0,0,3.92,0,5.88,0,1.96,0,0
