stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,hatching.gland,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,1.64,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,2.19,0,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0.77,0,0.77,0,0,0,0.77
120,0,1.96,0,0,0,0,1.96,0,1.96,1.96,0,0,0,1.96,0,0,0,0
