stage,blastomeres,epidermis,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,2.94,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,5.31,2.12,0,1.06,0,2.12,0,0,0,2.12,0,0,1.06,2.12,0,1.06,0
 96-106,0,3.28,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,10.72,4.6,0,0,0,1.53,0.77,0.77,0.77,0,0,0,2.3,13.02,0,0,0
120,0,0,0,0,0,0,9.8,0,0,1.96,0,0,0,1.96,19.6,0,0,1.96
