stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,8,1,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,10.67,0,0.82,0,0,13.95,0,0,0.82,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0.81,0,0,11.28,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,1.72,0.57,0,1.72,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0.57,6.89,0.57,0,0,0,16.07,0,0.57,0,1.72,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,17.67,0,0.98,0,0.98,0,0,1.96,0.98,0,0,2.94,0,0,0,20.61,0,0.98,0,0,39.26,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,0.98,0,0,0,0,0,0,0.98,0,1.96,0,0,0,15.71,0,0,0,0,85.4,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,3.19,0,0,6.37,0,3.19,0,1.06,0,1.06,3.19,4.25,0,1.06,4.25,3.19,0,0,4.25,0,0,0,0,266.57,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,10.93,1.09,0,8.74,0,7.65,6.56,1.09,0,1.09,4.37,8.74,1.09,0,0,4.37,1.09,1.09,14.21,0,0,0,0,514.73,0,0,0,0,1.09,1.09,3.28,0,0
108-118,0,0,7.66,0,0.77,7.66,0,10.72,0.77,0,0,0.77,7.66,9.96,0,0,4.6,6.13,0,1.53,5.36,0,0,0,0,358.47,0,0,0,0.77,0,0,1.53,0.77,0
120,0,0,3.92,0,0,0,0,23.52,0,0,0,0,11.76,1.96,1.96,0,3.92,5.88,0,1.96,3.92,0,0,1.96,0,380.2,0,0,0,0,0,0,0,0,0
