stage,blastomeres,fast_muscle,fin_mesenchyme,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,0.81,2.42,0.81,0,0,0,4.03,0
 48-58,0,0.57,0,0.57,1.15,1.15,0.57,0,0,0,2.87,0.57
 60-70,0,0,0,1.96,2.94,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0.98,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,1.06,0,0,1.06,2.12,0
 96-106,0,1.09,0,1.09,0,0,1.09,1.09,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,0,1.96,0,0,0,3.92,0
