stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,12,16,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,13.13,4.1,0,0,0.82,0,0,0,10.67,0,0,0,1.64,0,0,0,0,3.28,0.82,0,0,0,0
 36-46,0,6.45,0.81,0.81,0,0,0,0,0,16.92,0,0,0,2.42,0,0,0,0,1.61,0.81,0,0,0,0
 48-58,0,5.74,0,0,0,0,0,0,4.02,17.79,0.57,0,0,2.3,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,6.87,0,0,0,0.98,0,0,18.65,34.35,0,0,0,8.83,0,0,0,0.98,3.93,0,0,0,0,0
 72-82,0,21.6,0,0.98,5.89,1.96,0,0,63.81,56.94,1.96,0.98,0,12.76,0,0,0,0,4.91,0,0,0.98,0,0.98
 84-94,0,21.24,0,0,22.3,5.31,0,0,126.38,156.12,1.06,0,0,16.99,0,0,0,2.12,9.56,0,0,1.06,0,0
 96-106,0,20.76,0,0,12.02,6.56,0,5.46,118.03,96.17,1.09,0,0,20.76,0,1.09,0,3.28,8.74,0,0,1.09,0,1.09
108-118,0,16.09,0,2.3,24.51,1.53,0.77,0,62.04,135.58,2.3,0,0,15.32,0.77,0,0,0,13.79,0,0.77,0.77,0.77,0
120,0,7.84,0,0,7.84,1.96,0,0,60.75,84.27,0,0,1.96,7.84,0,0,0,0,3.92,0,0,0,0,0
