stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,10,0,0,4,0,0,0,2,1,0,0,0,0,0,5,0,1,40,0,0,0,3,0,3,13,0,5,10,0,0,0
 24-34,0,0,0,0,0,4.93,0,0,0,0,0.82,0,0,0,0,0.82,3.28,0,1.64,36.94,0,0,0,0,0,1.64,0,0,1.64,4.93,0.82,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0,0,0,0,5.64,0,1.61,17.72,0,0.81,0,0,0,1.61,0,0,0,0.81,1.61,0,0.81
 48-58,0,0,0.57,0,0,6.31,0.57,0,0,1.72,0,0,0,0,0,0,2.3,0,0.57,8.61,0,0,0,0,0,0,0,0,0,3.44,1.15,0,0
 60-70,0,0,1.96,0.98,0,94.23,0,0,0.98,1.96,0,0,0,0,0,0,5.89,0,0,12.76,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0.98,0,0,1.96,0,150.19,0,0,0,11.78,0,0.98,0,0.98,0,0,8.83,0.98,2.94,11.78,0,0,0,0,0.98,2.94,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,1.06,0,60.54,0,1.06,0,7.43,0,0,0,0,0,0,5.31,0,0,12.74,2.12,0,0,0,0,6.37,0,0,0,0,1.06,1.06,0
 96-106,0,0,2.19,3.28,0,56.83,0,0,0,3.28,0,0,0,0,0,0,5.46,1.09,2.19,8.74,0,1.09,1.09,0,0,7.65,0,0,0,1.09,1.09,1.09,0
108-118,0,0,5.36,0.77,0.77,39.83,0,0,0,2.3,0.77,0,1.53,0,0.77,0,6.89,0,0,16.09,0.77,0,0,0,0,2.3,0,0.77,0,0,1.53,0,0
120,0,0,1.96,0,1.96,31.36,0,0,0,3.92,0,0,0,0,1.96,0,5.88,0,3.92,15.68,0,0,0,0,0,5.88,0,0,0,0,0,0,0
