stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,52.57,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,8,4,0,0,3,0,0,0,0,0,5,0,2,60,0,2,1,0,0,7,0,13,30,0,0,2,0
 24-34,0,0,0,1.64,7.39,0,0,0.82,0,0,0,0.82,0.82,10.67,0,2.46,61.56,0,0.82,0,0,0.82,0,0,0,11.49,0,0,0,0
 36-46,0,0,0,0,12.89,0,0,2.42,0,0,0,0,0,8.86,0,0.81,46.73,0,1.61,0,0,0,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,1.15,15.49,0,0,4.02,0,0,0,0,0,7.46,0,1.72,21.8,0.57,0.57,0,0,0.57,0,0,0,7.46,0,0,1.15,0
 60-70,0,0,0,2.94,10.8,0.98,0,4.91,0,0,0,0,0,5.89,0,1.96,17.67,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,3.93,0,0,0.98,0,0.98,0,0.98,0,10.8,0.98,1.96,13.74,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,3.19,0,1.06,3.19,0,0,0,0,0,5.31,0,5.31,7.43,0,0,0,0,1.06,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,0,0,8.74,0,1.09,0,0,0,8.74,0,0,8.74,0,1.09,0,0,0,0,0,0,4.37,0,0,2.19,0
108-118,0,0,0,1.53,5.36,0,0,2.3,0,0,0.77,0,0.77,6.13,0,0.77,11.49,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,3.92,1.96,1.96,0,5.88,0,0,0,0,0,3.92,0,3.92,11.76,0,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,0
