stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,2503.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,98.07,1330.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,61.3,12.26,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,18.4,26.29,0,39.43,0,0,0,60.46,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,733.41,10.51,0,0,278.64,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,25.18,0,0,0,50.35,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,585.34,31.47,0,0,169.94,0,9.44,3.15,6.29,31.47,0,3.15,3.15,0,0,0
 14-21,1,0,0,6,86,21,0,24,0,0,7,4,6,1,0,3,0,0,0,0,41,1,0,28,368,26,1,7,9,0,30,0,57,4,4,30,106,0,2,0
 24-34,0,0,0.82,1.64,13.95,0.82,0,108.35,0,0,9.03,0.82,0,0,2.46,0.82,0.82,0.82,0.82,0,55.82,0,0,19.7,605.79,1.64,1.64,3.28,0,0,36.12,0,0.82,0.82,0,7.39,126.41,0,5.75,0
 36-46,0,0,0,0,8.86,2.42,0,207.06,0,1.61,6.45,0,0,0,2.42,0,0,0,0.81,0,27.39,0,1.61,8.86,363.36,0.81,3.22,1.61,0,0,12.89,0,0,0,0,0,63.65,0,4.03,0
 48-58,0,0,0,0,4.02,1.72,0,205.42,0,0,9.75,0,0,0.57,0.57,0,1.15,0.57,0,0,39.59,0,1.72,3.44,181.9,0.57,1.72,1.72,0,0,2.3,0,0,0,0,0,27.54,0,0.57,0.57
 60-70,0,0,0,0,5.89,1.96,0,182.56,0.98,0.98,11.78,2.94,0,0.98,0,0,0,0,1.96,0,32.39,0,1.96,3.93,95.21,0.98,0,1.96,0,0,3.93,0,0,0,0,0,13.74,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,53.99,0,0.98,15.71,0,0,0,0.98,0,0.98,0,0,0,22.58,0,2.94,1.96,75.59,0,0.98,0.98,0,0,1.96,0,0,0,0,0,3.93,0,1.96,0
 84-94,0,0,0,0,6.37,2.12,0,43.54,0,1.06,6.37,2.12,0,1.06,3.19,3.19,0,1.06,1.06,1.06,19.12,0,3.19,3.19,41.42,1.06,1.06,0,0,0,3.19,0,0,0,0,0,2.12,0,4.25,0
 96-106,0,0,1.09,0,3.28,2.19,0,22.95,0,0,5.46,2.19,0,0,0,2.19,1.09,0,0,0,8.74,1.09,0,2.19,39.34,0,1.09,1.09,0,0,4.37,0,0,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0,0,1.53,1.53,0.77,22.98,0,0,6.13,0,0,0,3.83,0,0,0,0,0,10.72,0,0,1.53,42.89,0,0,0.77,0,0.77,2.3,0,0,0.77,0,0,0.77,0,0.77,0
120,0,0,0,0,7.84,1.96,0,52.91,0,0,9.8,1.96,0,0,3.92,0,0,0,1.96,0,11.76,0,0,5.88,52.91,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0
