stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,141.61,0,0,0,3.15,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,5,37,0,2,0,4,0,0,1,2,0,0,0,0,0,0,0,57,0,0,435,43,0,0,0,4,0,4,0,163,2,33,2291,28,0,0,4,0,0
 24-34,0,0,0,4.93,9.03,0,3.28,0,39.4,26.27,1.64,0,0.82,0,0,0.82,0,0,0,0.82,324.24,0,0,595.94,71.41,0.82,0,0.82,0,0,1.64,0,4.1,0.82,3.28,308.64,32.01,0,0,12.31,0,0.82
 36-46,0,0,0,4.03,1.61,0,5.64,0,19.34,63.65,1.61,0,0,0,0,0.81,0.81,0.81,0,0,392.36,0.81,0,353.69,71.7,0,0.81,0,0,0,3.22,0,0,0,5.64,3.22,29,0,0,4.03,0,0.81
 48-58,0,0,0,0.57,0.57,0,16.07,0.57,17.21,60.82,4.02,0,0,0,0,0,0,0,0.57,1.15,480.85,0,0,265.67,79.76,0.57,0.57,1.15,0,0,1.15,0,0,0,0.57,0.57,21.23,0,0.57,0.57,0.57,1.72
 60-70,0,0,0,1.96,0,0,27.48,0,34.35,71.65,2.94,0,0.98,0,0.98,0,0,0,0.98,0,696.88,1.96,0,212.01,98.15,0,0,0.98,0,0,0.98,0,0.98,0,1.96,0,15.7,0,1.96,0.98,0,0.98
 72-82,0,1.96,0,13.74,3.93,0,106.02,2.94,38.28,107,13.74,0.98,0,0,0.98,0,1.96,0,0.98,0,1239.84,0.98,3.93,270.94,204.19,0,0.98,0,0,0.98,4.91,0,0,0,0.98,0,17.67,1.96,5.89,7.85,10.8,0.98
 84-94,0,0,0,20.18,0,0,127.44,8.5,71.16,77.53,15.93,2.12,0,1.06,1.06,2.12,0,2.12,2.12,0,891.05,1.06,2.12,230.46,100.89,0,1.06,1.06,0,1.06,5.31,1.06,0,2.12,0,0,13.81,2.12,5.31,7.43,4.25,0
 96-106,0,0,1.09,25.14,7.65,2.19,133.33,4.37,95.08,76.5,18.58,7.65,0,0,8.74,0,0,6.56,2.19,0,1028.37,2.19,8.74,215.29,161.74,1.09,1.09,2.19,0,2.19,6.56,0,0,2.19,1.09,0,4.37,2.19,8.74,15.3,4.37,2.19
108-118,0.77,0,0.77,10.72,3.83,1.53,61.28,3.83,137.11,65.11,14.55,1.53,0,0.77,2.3,1.53,0.77,2.3,3.06,0,1047.84,1.53,6.13,232.09,187.66,1.53,0.77,2.3,0,1.53,5.36,0,0,1.53,0,0,12.26,0.77,6.13,3.83,3.83,0.77
120,0,0,0,15.68,1.96,0,45.08,0,92.11,48.99,0,1.96,0,0,0,0,0,0,0,0,838.79,0,1.96,217.54,172.46,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,1.96,1.96,0
