stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,65.89,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,4.1,0.82,0,0,0,0,0,1.64,0.82,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,4.03,0,0,5.64,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0,0,1.15,0,0,0,0,0,2.87,0,1.15,3.44,0,0,0.57,0,0,0,0.57,0.57,0.57
 60-70,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,4.91,0,0,1.96,0,0,2.94,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,0,1.06,1.06,0,0,0,0,0,0,6.37,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,9.84,0,0,0,0,1.09,1.09,0,0,1.09,0,4.37,1.09,0,2.19,0,3.28,0,0,0,0,2.19,0,0
108-118,0,0,0,2.3,0.77,0,0.77,0,0,3.06,0,1.53,0,0.77,3.83,0,0,1.53,0.77,1.53,3.06,0,0,0,1.53,0,0.77
120,0,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0,7.84,0,0,5.88,0,0,1.96,0,0,0,0,1.96,0
