stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0
 14-21,9,1,1,17,0,0,0,0,0,0,1,0,0,9,0,0,0,0,2,3,0,1,0,0,0,0,0,2,0,8,0
 24-34,12.31,0.82,3.28,0.82,0.82,0,0.82,0,0,0,0,0.82,0.82,19.7,0,0,0.82,0,3.28,29.55,0,0,15.6,0,0,0,0.82,2.46,0,22.98,0
 36-46,6.45,0,0,0,0,0,0,0.81,0.81,0,0,0,0,6.45,0,0,0,0,3.22,24.17,0,0,45.92,0.81,1.61,0,0,5.64,0,11.28,0.81
 48-58,4.59,0,1.72,0,1.72,0,0.57,0,1.72,0.57,0,0,0,6.31,0,0,0,0.57,2.3,29.26,0,0,67.14,0,0,0,0,6.89,0,7.46,0
 60-70,5.89,0,3.93,0,6.87,0,0.98,0,0,8.83,0,0.98,0.98,1.96,0,0,0,0,2.94,13.74,0,0,71.65,0,0.98,0,0,0.98,0.98,12.76,0
 72-82,38.28,0,6.87,0.98,8.83,0,0,0,3.93,45.16,0.98,0,0.98,5.89,0,0,0.98,0,0.98,43.19,0,0,63.81,0.98,0,0,0,1.96,0.98,19.63,0
 84-94,33.99,0,13.81,1.06,12.74,0,0,0,0,56.29,0,0,0,5.31,0,1.06,1.06,0,1.06,20.18,0,0,40.36,0,0,0,0,0,0,8.5,1.06
 96-106,40.44,0,8.74,0,5.46,0,1.09,0,3.28,96.17,0,0,0,4.37,1.09,4.37,3.28,0,0,22.95,1.09,0,24.04,0,1.09,0,0,0,0,24.04,1.09
108-118,28.34,0,9.19,0,5.36,0.77,0.77,0,0.77,64.34,0,0,0,1.53,0,0,0.77,0,3.06,16.09,0,0,27.57,0,1.53,0,0,0.77,2.3,16.09,0
120,25.48,0,3.92,0,1.96,0,0,0,1.96,41.16,0,0,0,0,0,0,1.96,0,0,5.88,0,1.96,37.24,0,0,0,0,0,3.92,17.64,0
