stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,3637.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0
  5-6,116.46,870.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,13.14,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,28.92,0,94.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,0,25.18,0,81.82,0,0,0,0,0,0,0
 14-21,0,0,2,10,4,3,2,0,0,10,15,0,1,0,2,0,0,0,31,0,19,33,2,0,1,1,0,21,4,2,9,47,0,0,0
 24-34,0,0,0.82,0.82,0,0,3.28,0,0,5.75,1.64,0,0,0,0,0,0,0.82,40.22,0,7.39,22.16,0,2.46,0,0,0.82,2.46,0,0,0.82,27.91,0.82,0,0.82
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0.81,0,3.22,0,0.81,12.89,0.81,4.83,46.73,0,6.45,0.81,0,0,5.64,0,0.81,0,12.89,0.81,0,0.81
 48-58,0,0,0,0,0,0,4.02,0,0,2.87,0,0,0,0,0,8.03,0,0,10.33,1.15,6.31,12.62,0,1.15,0,0,0.57,1.15,0,0,0,13.2,0,0.57,0.57
 60-70,0,0,0.98,0,0.98,0,1.96,0,0,6.87,0,0,0,0,0,9.82,0,0.98,13.74,2.94,0.98,10.8,0,0.98,0,0,0,0.98,0,0.98,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,2.94,0.98,2.94,13.74,0,0,0,0,0,21.6,0,0,14.72,3.93,4.91,7.85,0,1.96,0,0,5.89,0.98,0,0.98,0,2.94,0,3.93,0.98
 84-94,0,0,1.06,0,0,0,4.25,0,0,16.99,0,0,0,0,0,40.36,0,1.06,9.56,2.12,2.12,8.5,0,6.37,0,0,4.25,0,0,0,0,3.19,0,10.62,3.19
 96-106,0,0,0,0,2.19,1.09,5.46,1.09,0,16.39,0,0,0,0,0,28.41,1.09,0,24.04,0,2.19,10.93,0,5.46,1.09,0,2.19,1.09,0,0,0,3.28,0,5.46,2.19
108-118,0,0,0.77,0,1.53,0,3.83,0,0.77,19.92,0,0,0,0,0,35.23,0.77,0,13.02,2.3,3.83,6.13,0,1.53,0,0,0.77,2.3,0,0,0,1.53,0,3.06,6.89
120,0,0,0,0,1.96,0,0,0,3.92,13.72,0,0,0,0,0,25.48,0,0,5.88,0,1.96,5.88,0,3.92,0,0,0,1.96,0,1.96,0,0,0,7.84,0
