stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,periderm,pgc,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,2.46,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,4.03,0,0.81,0.81,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,1.96,0,0,3.93,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,3.19,1.06,0,0,2.12,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,3.28,0,5.46,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,2.3,1.53,0,0,2.3,0,5.36,0,0,0.77,0.77
120,0,0,0,0,0,0,13.72,0,3.92,0,0,0,41.16,0,0,0,1.96
