stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,mesenchyme,neural,otic,paraxial.mesoderm,slow.muscle,somites,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,1,1
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,1.96,1.96,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,2.94,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0
