stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
 14-21,1,1,0,11,0,2,1,0,20,4,1,43,0,0,1,0,2,25,5
 24-34,0,1.64,0.82,7.39,0,0.82,0.82,3.28,21.34,6.57,0,36.94,0,0,0,0.82,0,10.67,13.95
 36-46,0,0,0,0.81,0,0,0,3.22,12.09,1.61,0.81,17.72,0,0,0,0,0,0.81,3.22
 48-58,0,0,0,3.44,0.57,0,0,5.16,2.3,0.57,0,5.16,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0,0,0,0,1.96,0,0.98,1.96,7.85,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,3.93,0,0,0,0.98,0,5.89,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,3.19,1.06,1.06,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,2.19,2.19,7.65,0,1.09,1.09,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,3.83,0.77,3.83,0,3.06,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0
