stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0,1,26,0,0,1,0,753,2,0,1,1,11,0,0,0,0,0
 24-34,0,0,18.06,2.46,0,21.34,0,3.28,0.82,3.28,1.64,0.82,1.64,0,4.93,0.82,0.82,0.82,0,18.06,21.34,0,9.03,184.69,2.46,3.28,1.64,0,1846.11,0,0.82,1.64,3.28,28.73,0,0,1.64,0,0
 36-46,0,0,6.45,0,0,29.81,1.61,16.92,0.81,4.03,0,0,1.61,0.81,6.45,0,0.81,0.81,0.81,14.5,21.75,0,5.64,156.3,2.42,5.64,0.81,0,2104.41,0,3.22,0,0,32.23,0,0,0.81,0,0
 48-58,0,0,12.05,0.57,0,64.84,0.57,33.28,0.57,10.33,1.72,0.57,0,0.57,6.89,1.15,0,1.15,0.57,24.1,20.66,0,6.31,172.14,2.3,5.74,1.15,0,1749.53,0,0,0,0,41.31,0,0,2.87,0,5.16
 60-70,0,0,25.52,0.98,0,55.95,0,23.56,0,7.85,0.98,0,0,0,9.82,0,0,0,0,23.56,11.78,0.98,3.93,131.52,0,7.85,0,0,1479.15,0,0,0,0,14.72,0,0,0,0,3.93
 72-82,0,0,67.73,6.87,0,37.3,0,31.41,0.98,12.76,8.83,0,0,0.98,18.65,0,0,0,0.98,15.71,8.83,0,1.96,97.18,0,7.85,0,0,1259.47,0,0,0,0,5.89,4.91,0.98,1.96,0.98,0.98
 84-94,0,0,125.32,4.25,0,26.55,0,89.21,1.06,6.37,16.99,0,0,1.06,38.23,1.06,1.06,0,0,13.81,13.81,0,4.25,53.1,0,20.18,1.06,0,3246.65,0,3.19,0,0,3.19,25.49,0,2.12,0,0
 96-106,0,0,251.35,3.28,0,31.69,0,51.36,1.09,8.74,21.86,0,0,8.74,51.36,1.09,1.09,2.19,0,13.11,24.04,0,1.09,61.2,0,15.3,2.19,1.09,2773.65,0,2.19,1.09,0,1.09,33.88,0,5.46,0,1.09
108-118,0,0,258.9,0.77,0.77,17.62,0.77,134.81,2.3,8.43,33.7,0.77,0.77,6.13,62.04,0.77,1.53,2.3,2.3,15.32,46.72,0,0.77,59.75,0,9.96,0,0,3230.83,0,2.3,0.77,0,0,56.68,0,0.77,1.53,0.77
120,0,1.96,243.01,0,0,21.56,1.96,66.63,0,1.96,15.68,0,0,15.68,25.48,0,0,3.92,0,9.8,17.64,0,1.96,52.91,0,11.76,1.96,0,1699.13,0,0,0,0,7.84,25.48,1.96,3.92,0,0
