stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,3,1,0,3
 24-34,0,0,0,0,0,0.82,6.57,0,0,3.28
 36-46,0,0,0,2.42,0,0.81,20.95,0,0,1.61
 48-58,0,0,0.57,2.3,0,0.57,13.2,0,0,4.02
 60-70,0,0,0,5.89,0.98,0,13.74,0,0,4.91
 72-82,0,0,0,7.85,0,0,19.63,0,0,1.96
 84-94,0,0,0,3.19,1.06,0,10.62,0,0,0
 96-106,0,0,0,2.19,0,0,8.74,0,0,1.09
108-118,0,0.77,0,3.06,0,0,6.13,0,0,0
120,0,1.96,0,3.92,0,0,15.68,0,0,0
