stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,18.39,582.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,30.65,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,113.03,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,159,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,3,2,2,0,2,5,0,1,0,0
 24-34,0,0,1.64,4.1,0,0,7.39,0,0,0,0,0,0,4.93,0,0,0,0.82,0,1.64,0,0,19.7,0,0.82,0,0,6.57,0,0,0,0,5.75,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,5.64,0,0,0,0,0,0,22.56,0,0,0,0,0,3.22,0,0.81,11.28,0,0,1.61,0,7.25,0,0,0,0,3.22,0,2.42,0,0
 48-58,0,0,0,1.15,0.57,0,5.74,0,0,4.02,0,0,0.57,33.28,0.57,0,0,0.57,0,6.31,0,1.15,10.33,0,0,0,0,2.3,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,10.8,0,0,1.96,0,0,0,53,0,0,0,0,0,7.85,0,0.98,7.85,0,0,0.98,0,5.89,0,0,0,0,1.96,0,2.94,0,0
 72-82,0,0,0,1.96,0.98,0,20.61,0,0,7.85,0,0,0,65.77,0,0,0.98,0,0,11.78,0,0,11.78,0,0,2.94,0,2.94,0,0,0.98,0,0.98,0.98,0.98,0,0
 84-94,0,0,0,3.19,1.06,0,20.18,0,0,3.19,0,0,0,96.65,1.06,1.06,0,1.06,1.06,13.81,0,1.06,1.06,0,0,5.31,0,6.37,0,0,3.19,0,1.06,0,0,0,1.06
 96-106,0,0,0,5.46,1.09,0,28.41,0,0,5.46,1.09,0,1.09,89.61,0,0,0,0,0,12.02,0,1.09,5.46,0,0,2.19,0,6.56,0,0,2.19,0,0,1.09,7.65,1.09,0
108-118,0,0,0,6.89,0,1.53,28.34,0.77,1.53,5.36,2.3,0,0,68.17,0.77,0,0,0,0.77,8.43,0.77,0,12.26,0,0,3.06,0,5.36,0,0,0.77,0,0,0,1.53,0,0
120,0,0,0,3.92,0,0,33.32,0,0,5.88,3.92,0,0,86.23,0,1.96,0,0,0,13.72,0,0,7.84,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,1.96,1.96,0
