stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,171.63,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,0,0,0,0,18.4,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,191.9,7.89,0,0,65.72,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,3.15,0,18.88,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,207.7,9.44,0,0,81.82,0,0,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,21,0,0,8,0,0,6,1,0,0,0,0,0,0,0,1,10,0,0,7,114,5,0,1,4,0,2,0,9,0,10,45,0,0,1,0,0
 24-34,0,0,0,1.64,9.03,0,0,22.98,0.82,0.82,1.64,0.82,0,3.28,0,4.93,0,1.64,0.82,0,24.63,0,0,12.31,206.86,1.64,4.1,4.1,0,0,6.57,0,0.82,0,1.64,64.85,0,0,2.46,0,0
 36-46,0,0,0,0.81,1.61,0,0,32.23,0,2.42,5.64,0,0,0,0,0,0.81,0,0,0,23.36,0,2.42,7.25,165.97,0.81,0.81,2.42,0,0,8.86,0,0,0,0.81,41.09,0,1.61,1.61,0,0
 48-58,0.57,0,0,0,4.59,0,0,36.72,0,1.15,7.46,0,0,0,0,0,0.57,0.57,0.57,0,28.69,0,1.15,5.16,99.27,0.57,0,0.57,0,0,4.02,0,0,0,0,32.13,0,0,1.72,0,0
 60-70,0,0,0,0,2.94,0.98,0,53,2.94,0.98,5.89,0,0,0.98,2.94,1.96,0.98,0.98,0,0,41.22,0,0.98,1.96,81.47,0,0.98,0,0,0.98,4.91,0,0,0,0,21.59,0,3.93,2.94,0.98,0
 72-82,0,0,0,0,5.89,1.96,0,53.01,0,0.98,16.69,0,0,0.98,0.98,0,0.98,2.94,0,0,50.06,0,0.98,6.87,71.66,0,3.93,1.96,0,0,1.96,0,0,0,0,6.87,0,3.93,0.98,1.96,0.98
 84-94,0,0,0,0,7.43,0,0,32.92,2.12,3.19,11.68,2.12,0,0,2.12,3.19,2.12,1.06,0,0,36.11,2.12,3.19,4.25,52.04,0,1.06,1.06,0,0,11.68,0,0,0,0,4.25,0,1.06,3.19,0,0
 96-106,0,0,1.09,0,6.56,2.19,1.09,27.32,0,0,12.02,2.19,0,0,1.09,0,0,2.19,2.19,0,29.51,4.37,1.09,4.37,30.6,0,1.09,1.09,0,0,10.93,0,0,0,0,2.19,0,0,3.28,0,0
108-118,0,0,2.3,0,9.19,0.77,0,19.92,0.77,1.53,15.32,3.83,0,0,1.53,0.77,2.3,0,1.53,0,25.28,1.53,0.77,3.06,53.62,3.06,2.3,3.06,0,0.77,6.13,0,0,0,0,2.3,1.53,0.77,1.53,0.77,2.3
120,0,0,0,0,3.92,0,0,17.64,0,0,15.68,3.92,0,0,0,3.92,0,0,1.96,0,23.52,0,0,3.92,25.48,0,1.96,9.8,0,1.96,15.68,0,0,3.92,0,1.96,0,0,0,0,0
