stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,12.59,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,1,0,0,0,1,0,0,0,1,0,1,11,1,1,2,0,0,1,3,0,1,6,0,0,0
 24-34,0,0,0,1.64,0.82,6.57,0,0.82,0,0.82,0.82,0,4.93,0,3.28,39.4,0,4.1,4.93,0,0,0.82,0,1.64,0.82,9.03,0,0,0
 36-46,0,0,0,1.61,0,8.06,0.81,0,1.61,0,0,0.81,0.81,0,0,39.48,1.61,2.42,2.42,0,0,0.81,0,0.81,0,4.83,0,0.81,0
 48-58,0,0,0,0.57,0,7.46,0,0.57,0.57,0.57,2.3,0,5.16,0,0,25.25,0,2.3,6.89,0,0,0.57,0,0,0,3.44,0,0.57,0.57
 60-70,0,0,0,0,0,8.83,0,0,1.96,0,6.87,0,9.82,0,1.96,23.56,0,2.94,13.74,0,0,0,0,0.98,0,6.87,0,0.98,0
 72-82,0,0,0,0,0,6.87,0,0,2.94,0.98,8.83,0,12.76,0.98,0.98,29.45,0,5.89,23.56,0,0,0.98,0,0.98,0,3.93,0.98,1.96,0
 84-94,0,0,0,3.19,0,3.19,0,0,3.19,1.06,11.68,0,3.19,0,0,6.37,0,4.25,27.61,0,0,1.06,0,5.31,0,2.12,0,0,0
 96-106,0,0,0,1.09,0,3.28,0,0,2.19,1.09,22.95,0,7.65,0,1.09,12.02,0,7.65,41.53,0,0,2.19,0,3.28,0,0,0,0,0
108-118,0,0,0,1.53,0.77,3.06,0,0,0.77,0,10.72,0,1.53,0,0.77,7.66,0,2.3,34.47,0,0.77,1.53,0,3.06,0,0.77,0,1.53,1.53
120,0,0,0,1.96,1.96,1.96,0,1.96,0,3.92,15.68,0,3.92,0,0,19.6,0,1.96,33.32,0,0,3.92,0,7.84,0,0,0,1.96,0
