stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,60,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.1,67.31,8.21,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,81.37,0,0.81,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,0.57,0,0,1.15,39.02,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0.98,33.37,0.98,0,0
 72-82,0,0,0,0,0,1.96,0,1.96,0,0,0.98,0,2.94,6.87,0.98,0,1.96
 84-94,0,1.06,0,0,0,0,0,0,0,3.19,2.12,0,0,27.61,3.19,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,24.04,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0.77,15.32,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0
