stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,10.51,0,0,7.89,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,2,4,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,21,2,0,1,0,0
 24-34,0,0,1.64,2.46,0,0,0,0,0,0.82,0.82,0.82,0.82,16.42,0,0,0,0,146.11,0,0.82,4.1,0.82,0
 36-46,0,0,0,1.61,0.81,0,0,0.81,0,0,0,0,0.81,10.47,0,0,0,0,82.18,0,0,1.61,0,0
 48-58,0,0,0,5.16,2.3,0,0,0,0,0.57,2.3,0,0,5.16,0,1.15,0,0,34.43,0,0.57,3.44,0,0
 60-70,0,0,0,3.93,0.98,0,0,0,0,0.98,2.94,0,0,4.91,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,3.93,2.94,0,0,0,0,0,5.89,0,0.98,8.83,0.98,0.98,0,0,3.93,0,0,0.98,0,0
 84-94,0,1.06,1.06,4.25,0,0,0,0,0,0,2.12,0,1.06,6.37,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,2.19,1.09,3.28,0,0,0,0,2.19,0,0,4.37,0,1.09,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0,4.6,1.53,0.77,0,0,0.77,0,2.3,0,0,1.53,0,0,0,0,2.3,0,0,0,0,0.77
120,0,0,1.96,1.96,3.92,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,3.92,0,0,0,0,0
